Untitled1.acq
Graph Created on: 2025-05-08 10:59:51.363
Recording on: 2025-05-08 11:01:46.417
0.5 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, X, RSPEC-R
mV
CH1	CH9	
254970 samples	254970 samples	
0.862427	-0.0512695	
0.861816	-0.0483704	
0.859985	-0.0463867	
0.857849	-0.045929	
0.856628	-0.045929	
0.856934	-0.0454712	
0.856628	-0.043335	
0.855103	-0.0408936	
0.852051	-0.0386047	
0.851135	-0.0357056	
0.852051	-0.0311279	
0.85144	-0.0263977	
0.85144	-0.0218201	
0.852051	-0.0187683	
0.851135	-0.014801	
0.85144	-0.0115967	
0.852051	-0.00915527	
0.85144	-0.00778198	
0.853271	-0.00900269	
0.855103	-0.0102234	
0.856323	-0.0141907	
0.856628	-0.0193787	
0.856018	-0.0257874	
0.855713	-0.0312805	
0.855408	-0.0354004	
0.857849	-0.0386047	
0.860291	-0.0404358	
0.861206	-0.0421143	
0.861206	-0.0453186	
0.862732	-0.0495911	
0.865479	-0.0558472	
0.865784	-0.0630188	
0.865784	-0.0697327	
0.86731	-0.0750732	
0.870056	-0.0790405	
0.870972	-0.0798035	
0.870667	-0.0796509	
0.872803	-0.0773621	
0.874939	-0.0720215	
0.875854	-0.0660706	
0.875549	-0.059967	
0.87677	-0.0537109	
0.880127	-0.0488281	
0.880737	-0.0454712	
0.881042	-0.0416565	
0.882874	-0.0390625	
0.88501	-0.0389099	
0.88562	-0.0386047	
0.88562	-0.0384521	
0.887756	-0.0384521	
0.888977	-0.0379944	
0.890198	-0.0363159	
0.890198	-0.0337219	
0.892029	-0.0299072	
0.894165	-0.0244141	
0.894775	-0.0184631	
0.897217	-0.0126648	
0.899658	-0.00839233	
0.900269	-0.00427246	
0.9021	0.000762939	
0.904541	0.00534058	
0.905457	0.00900269	
0.905151	0.0108337	
0.907593	0.0123596	
0.91095	0.0115967	
0.913391	0.00701904	
0.915222	0.000152588	
0.914917	-0.00701904	
0.916748	-0.0161743	
0.9198	-0.0245667	
0.921631	-0.032959	
0.924072	-0.0413513	
0.926514	-0.0508118	
0.928955	-0.0610352	
0.929871	-0.0717163	
0.92926	-0.0805664	
0.932007	-0.0894165	
0.934143	-0.0965881	
0.934448	-0.102234	
0.934753	-0.105896	
0.9375	-0.107422	
0.939331	-0.108643	
0.939636	-0.106049	
0.939331	-0.102234	
0.942078	-0.0971985	
0.944214	-0.0923157	
0.944214	-0.0878906	
0.944519	-0.0843811	
0.947266	-0.0801086	
0.948792	-0.0756836	
0.949707	-0.0737	
0.949402	-0.0730896	
0.949707	-0.0735474	
0.951538	-0.0747681	
0.953979	-0.0762939	
0.954895	-0.0744629	
0.957031	-0.0708008	
