Untitled1.acq
Graph Created on: 2025-05-08 10:32:57.656
Recording on: 2025-05-08 10:44:02.601
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, X, RSPEC-R
mV
CH1	CH9	
168337 samples	168337 samples	
0.0570679	-0.0463867	
0.0564575	-0.045929	
0.0585938	-0.0442505	
0.06073	-0.0437927	
0.0616455	-0.0476074	
0.0613403	-0.0521851	
0.0610352	-0.0531006	
0.0610352	-0.052948	
0.0610352	-0.052948	
0.0616455	-0.0549316	
0.0653076	-0.0576782	
0.065918	-0.0602722	
0.0656128	-0.0585938	
0.0662231	-0.0537109	
0.067749	-0.0508118	
0.071106	-0.0500488	
0.071106	-0.0479126	
0.071106	-0.045929	
0.0753784	-0.0482178	
0.0759888	-0.0508118	
0.0762939	-0.0494385	
0.0759888	-0.0485229	
0.0802612	-0.0483704	
0.0808716	-0.0498962	
0.0802612	-0.0506592	
0.0808716	-0.0476074	
0.0808716	-0.0497437	
0.0805664	-0.0526428	
0.0805664	-0.0512695	
0.0802612	-0.0509644	
0.0802612	-0.0512695	
0.0808716	-0.052948	
0.0808716	-0.0531006	
0.0802612	-0.0534058	
0.0811768	-0.0535583	
0.0762939	-0.0515747	
0.0756836	-0.0485229	
0.0756836	-0.0480652	
0.0756836	-0.0495911	
0.0759888	-0.0483704	
0.0759888	-0.045929	
0.0738525	-0.0479126	
0.071106	-0.0500488	
0.071106	-0.0508118	
0.071106	-0.0527954	
0.0686646	-0.0556946	
0.0671387	-0.0601196	
0.0662231	-0.0610352	
0.0662231	-0.0569153	
0.0643921	-0.0512695	
0.0613403	-0.0505066	
0.0598145	-0.0547791	
0.0588989	-0.0543213	
0.0585938	-0.0514221	
0.0564575	-0.0485229	
0.0561523	-0.0505066	
0.0546265	-0.052948	
0.0515747	-0.0512695	
0.0512695	-0.0466919	
0.0518799	-0.0445557	
0.0473022	-0.0434875	
0.0469971	-0.04776	
0.0445557	-0.0524902	
0.0411987	-0.0532532	
0.0418091	-0.0535583	
0.0418091	-0.0537109	
0.0411987	-0.0534058	
0.0369263	-0.0532532	
0.0369263	-0.0531006	
0.0363159	-0.0534058	
0.0338745	-0.0515747	
0.0363159	-0.0505066	
0.0326538	-0.050354	
0.0317383	-0.0526428	
0.0274658	-0.0531006	
0.0271606	-0.0517273	
0.0274658	-0.0515747	
0.0268555	-0.0518799	
0.0268555	-0.0482178	
0.0268555	-0.0460815	
0.0250244	-0.0456238	
0.0274658	-0.0460815	
0.022583	-0.0463867	
0.0222778	-0.0476074	
0.0216675	-0.0483704	
0.0219727	-0.0506592	
0.0216675	-0.0534058	
0.0219727	-0.0537109	
0.0216675	-0.0511169	
0.0198364	-0.0491333	
0.0198364	-0.0506592	
0.0177002	-0.0517273	
0.0164795	-0.0506592	
0.0167847	-0.0526428	
0.0152588	-0.0553894	
0.0125122	-0.0534058	
0.012207	-0.0495911	
0.0115967	-0.0466919	
0.00976563	-0.0457764	
0.00701904	-0.0456238	
0.00732422	-0.0500488	
0.00762939	-0.0523376	
0.00518799	-0.0532532	
0.00244141	-0.0534058	
0.00274658	-0.052948	
0.00244141	-0.0527954	
0.000305176	-0.0517273	
-0.00274658	-0.0488281	
-0.00244141	-0.0476074	
-0.00701904	-0.0486755	
-0.00732422	-0.0508118	
-0.00762939	-0.0508118	
-0.0115967	-0.0511169	
-0.0119019	-0.0547791	
-0.012207	-0.0558472	
-0.0164795	-0.0541687	
-0.0170898	-0.0515747	
-0.0170898	-0.0524902	
-0.0177002	-0.0514221	
-0.0186157	-0.0491333	
-0.0195313	-0.0483704	
-0.0219727	-0.0515747	
-0.0216675	-0.0553894	
-0.022583	-0.0543213	
-0.0219727	-0.0518799	
-0.0244141	-0.0511169	
-0.0219727	-0.0531006	
-0.0259399	-0.0532532	
-0.0268555	-0.0532532	
-0.0265503	-0.0508118	
-0.0268555	-0.0471497	
-0.0265503	-0.0456238	
-0.0271606	-0.0483704	
-0.0265503	-0.0520325	
-0.0283813	-0.0547791	
-0.0314331	-0.0538635	
