Local: ,2025-05-08 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1746655200000.0
Timestamp,Seq No.,ECG data
1746694876359.469,0,29180
1746694876360.469,0,30085
1746694876361.469,0,30837
1746694876362.469,0,31476
1746694876363.469,0,31977
1746694876364.375,0,32359
1746694876365.375,0,32651
1746694876366.375,0,32852
1746694876367.375,0,32985
1746694876368.375,0,33065
1746694876369.375,0,33101
1746694876370.375,1,33110
1746694876371.375,1,33095
1746694876372.375,1,33070
1746694876373.375,1,33037
1746694876374.375,1,33005
1746694876375.375,1,32966
1746694876376.375,1,32933
1746694876377.375,1,32904
1746694876378.375,1,32874
1746694876379.375,1,32847
1746694876380.281,1,32823
1746694876381.281,2,32801
1746694876382.281,2,32787
1746694876383.281,2,32778
1746694876384.281,2,32765
1746694876385.281,2,32756
1746694876386.281,2,32751
1746694876387.281,2,32735
1746694876388.281,2,32729
1746694876389.281,2,32724
1746694876390.281,2,32719
1746694876391.281,2,32713
1746694876392.281,3,32707
1746694876393.281,3,32702
1746694876394.281,3,32697
1746694876395.281,3,32699
1746694876396.188,3,32693
1746694876397.187,3,32691
1746694876398.1882,3,32690
1746694876399.187,3,32681
1746694876400.188,3,32676
1746694876401.187,3,32670
1746694876402.188,3,32658
1746694876403.188,4,32649
1746694876404.187,4,32645
1746694876405.188,4,32641
1746694876406.187,4,32634
1746694876407.188,4,32633
1746694876408.187,4,32638
1746694876409.188,4,32639
1746694876410.187,4,32637
1746694876411.188,4,32633
1746694876412.062,4,32631
1746694876413.063,4,32625
1746694876414.062,5,32615
1746694876415.062,5,32612
1746694876416.063,5,32606
1746694876417.062,5,32602
1746694876418.063,5,32593
1746694876419.062,5,32585
1746694876420.063,5,32582
1746694876421.062,5,32578
1746694876422.0632,5,32579
1746694876423.062,5,32574
1746694876424.063,5,32573
1746694876425.062,6,32570
1746694876426.063,6,32566
1746694876427.062,6,32567
1746694876427.969,6,32568
1746694876428.969,6,32559
1746694876429.969,6,32556
1746694876430.969,6,32553
1746694876431.969,6,32548
1746694876432.969,6,32546
1746694876433.969,6,32545
1746694876434.969,6,32545
1746694876435.969,7,32545
1746694876436.969,7,32542
1746694876437.969,7,32537
1746694876438.969,7,32537
1746694876439.969,7,32535
1746694876440.969,7,32525
1746694876441.969,7,32518
1746694876442.969,7,32515
1746694876443.844,7,32520
1746694876444.844,7,32516
1746694876445.844,7,32515
1746694876446.844,8,32517
1746694876447.844,8,32512
1746694876448.844,8,32505
1746694876449.844,8,32504
1746694876450.844,8,32498
1746694876451.844,8,32497
1746694876452.844,8,32505
1746694876453.844,8,32508
1746694876454.844,8,32508
1746694876455.844,8,32507
1746694876456.844,8,32497
1746694876457.844,9,32492
1746694876458.844,9,32493
1746694876459.781,9,32485
1746694876460.781,9,32482
1746694876461.781,9,32479
1746694876462.781,9,32469
1746694876463.781,9,32474
1746694876464.781,9,32469
1746694876465.781,9,32467
1746694876466.781,9,32464
1746694876467.781,9,32463
1746694876468.781,10,32460
1746694876469.781,10,32459
1746694876470.781,10,32459
1746694876471.781,10,32478
1746694876472.781,10,32517
1746694876473.781,10,32579
1746694876474.781,10,32664
1746694876475.688,10,32768
1746694876476.687,10,32886
1746694876477.688,10,33013
1746694876478.687,10,33153
1746694876479.688,11,33310
1746694876480.687,11,33467
1746694876481.688,11,33625
1746694876482.687,11,33783
1746694876483.687,11,33945
1746694876484.688,11,34097
1746694876485.687,11,34246
1746694876486.688,11,34400
1746694876487.687,11,34538
1746694876488.688,11,34683
1746694876489.687,11,34829
1746694876490.688,12,34970
1746694876491.562,12,35103
1746694876492.563,12,35231
1746694876493.562,12,35355
1746694876494.562,12,35469
1746694876495.563,12,35589
1746694876496.562,12,35703
1746694876497.563,12,35818
1746694876498.562,12,35929
1746694876499.563,12,36043
1746694876500.562,12,36154
1746694876501.563,13,36256
1746694876502.562,13,36360
1746694876503.563,13,36472
1746694876504.562,13,36563
1746694876505.563,13,36656
1746694876506.562,13,36752
1746694876507.469,13,36848
1746694876508.469,13,36944
1746694876509.469,13,37043
1746694876510.469,13,37134
1746694876511.469,13,37227
1746694876512.469,14,37325
1746694876513.469,14,37420
1746694876514.469,14,37514
1746694876515.469,14,37605
1746694876516.469,14,37685
1746694876517.469,14,37769
1746694876518.469,14,37849
1746694876519.469,14,37935
1746694876520.469,14,38015
1746694876521.4692,14,38092
1746694876522.469,14,38170
1746694876523.344,15,38245
1746694876524.344,15,38327
1746694876525.344,15,38405
1746694876526.344,15,38479
1746694876527.344,15,38553
1746694876528.344,15,38628
1746694876529.344,15,38699
1746694876530.344,15,38765
1746694876531.344,15,38842
1746694876532.344,15,38917
1746694876533.344,15,38993
1746694876534.344,16,39062
1746694876535.344,16,39131
1746694876536.344,16,39201
1746694876537.344,16,39278
1746694876538.344,16,39348
1746694876539.281,16,39428
1746694876540.281,16,39500
1746694876541.281,16,39577
1746694876542.281,16,39651
1746694876543.281,16,39727
1746694876544.281,16,39798
1746694876545.281,17,39860
1746694876546.281,17,39925
1746694876547.281,17,39981
1746694876548.281,17,40041
1746694876549.2808,17,40105
1746694876550.281,17,40156
1746694876551.281,17,40211
1746694876552.281,17,40268
1746694876553.281,17,40325
1746694876554.281,17,40382
1746694876555.188,17,40444
1746694876556.187,18,40503
1746694876557.188,18,40558
1746694876558.187,18,40609
1746694876559.188,18,40660
1746694876560.187,18,40713
1746694876561.188,18,40757
1746694876562.187,18,40807
1746694876563.188,18,40856
1746694876564.188,18,40905
1746694876565.187,18,40957
1746694876566.188,18,41007
1746694876567.187,19,41054
1746694876568.188,19,41101
1746694876569.187,19,41153
1746694876570.188,19,41197
1746694876571.031,19,41243
1746694876572.031,19,41289
1746694876573.031,19,41330
1746694876574.031,19,41371
1746694876575.031,19,41411
1746694876576.031,19,41451
1746694876577.031,19,41490
1746694876578.031,20,41522
1746694876579.031,20,41558
1746694876580.031,20,41610
1746694876581.031,20,41656
1746694876582.031,20,41699
1746694876583.031,20,41735
1746694876584.031,20,41773
1746694876585.031,20,41804
1746694876586.031,20,41833
1746694876586.969,20,41867
1746694876587.969,20,41898
1746694876588.969,21,41933
1746694876589.969,21,41964
1746694876590.969,21,41995
1746694876591.969,21,42026
1746694876592.969,21,42055
1746694876593.969,21,42082
1746694876594.969,21,42112
1746694876595.969,21,42144
