Local: ,2025-05-08 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1746655200000.0
PPG Timestamp,PPG,ADXL Timestamp,X,Y,Z
1746694876398.156,162861,1746694876379.156,-40,17,-120
1746694876437.875,162948,1746694876418.969,-48,15,-120
1746694876457.75,162920,1746694876438.781,-34,15,-126
1746694876477.625,162850,1746694876458.719,-34,12,-128
1746694876497.5,162718,1746694876478.5308,-36,11,-112
1746694876517.375,162570,1746694876498.406,-47,15,-133
1746694876537.25,162370,1746694876518.25,-25,14,-127
1746694876557.156,162178,1746694876538.125,-40,12,-127
1746694876577.0,162020,1746694876558.063,-49,14,-121
1746694876596.875,161881,1746694876577.875,-40,19,-120
1746694876616.844,161761,1746694876597.781,-47,11,-125
1746694876636.625,161663,1746694876617.719,-40,12,-112
1746694876656.5,161596,1746694876637.531,-49,12,-104
1746694876676.375,161601,1746694876657.406,-40,10,-120
1746694876696.25,161621,1746694876677.281,-23,28,-121
1746694876716.156,161644,1746694876697.156,-37,14,-121
1746694876736.0,161686,1746694876717.062,-57,24,-121
1746694876755.875,161696,1746694876736.906,-35,22,-121
1746694876775.781,161707,1746694876756.75,-45,15,-125
1746694876795.625,161718,1746694876776.656,-45,15,-121
1746694876815.5,161705,1746694876796.531,-44,18,-120
1746694876835.375,161698,1746694876816.406,-34,18,-125
1746694876855.281,161687,1746694876836.281,-50,19,-112
1746694876875.125,161673,1746694876856.156,-40,15,-125
1746694876895.0,161649,1746694876876.031,-45,19,-125
1746694876914.875,161635,1746694876895.875,-42,19,-133
1746694876934.75,161645,1746694876915.75,-29,17,-112
1746694876954.594,161662,1746694876935.656,-40,17,-122
1746694876974.469,161660,1746694876955.5308,-29,14,-125
1746694876994.375,161706,1746694876975.344,-34,20,-125
1746694877014.25,161742,1746694876995.25,-39,12,-125
1746694877034.156,161764,1746694877015.125,-29,12,-125
1746694877054.094,161781,1746694877035.0,-48,14,-130
1746694877073.844,161823,1746694877054.969,-47,16,-125
1746694877093.75,161822,1746694877074.781,-24,18,-121
1746694877113.563,161841,1746694877094.625,-34,14,-122
1746694877133.438,161835,1746694877114.469,-52,14,-120
1746694877153.344,161857,1746694877134.344,-45,28,-131
1746694877173.187,161869,1746694877154.219,-46,19,-125
1746694877193.063,161898,1746694877174.063,-40,14,-127
1746694877212.938,161922,1746694877193.969,-36,16,-116
1746694877232.812,161925,1746694877213.812,-40,23,-125
1746694877252.656,161923,1746694877233.719,-45,14,-137
1746694877272.531,161893,1746694877253.594,-37,12,-125
1746694877292.438,161920,1746694877273.438,-39,14,-112
1746694877312.3118,161933,1746694877293.344,-40,12,-121
1746694877332.156,161959,1746694877313.156,-29,12,-120
1746694877352.031,161986,1746694877333.063,-40,9,-121
1746694877371.906,161999,1746694877352.937,-40,12,-121
1746694877391.781,162043,1746694877372.781,-37,20,-126
1746694877411.688,162109,1746694877392.656,-40,12,-133
1746694877431.563,162167,1746694877412.625,-40,14,-125
1746694877451.375,162232,1746694877432.344,-34,14,-129
1746694877471.25,162293,1746694877452.281,-36,17,-125
1746694877491.094,162361,1746694877472.156,-41,24,-122
1746694877510.969,162412,1746694877492.031,-40,20,-137
1746694877530.844,162414,1746694877511.844,-45,15,-125
1746694877550.719,162382,1746694877531.75,-33,15,-131
1746694877570.5618,162276,1746694877551.625,-36,15,-125
1746694877590.469,162197,1746694877571.5,-42,17,-125
1746694877610.313,162059,1746694877591.3442,-34,22,-112
1746694877630.187,161978,1746694877611.219,-35,19,-137
1746694877650.031,161873,1746694877631.094,-36,21,-125
1746694877669.938,161814,1746694877651.031,-45,9,-129
1746694877689.813,161778,1746694877670.781,-37,15,-120
1746694877709.625,161763,1746694877690.687,-36,15,-112
1746694877729.531,161737,1746694877710.562,-51,19,-125
1746694877749.375,161728,1746694877730.406,-39,16,-125
1746694877769.25,161693,1746694877750.281,-45,9,-120
1746694877789.094,161684,1746694877770.156,-39,13,-125
1746694877808.969,161633,1746694877790.0,-47,20,-127
1746694877828.844,161581,1746694877809.875,-49,19,-127
1746694877848.719,161539,1746694877829.688,-39,15,-121
1746694877868.562,161452,1746694877849.5942,-40,15,-130
1746694877888.406,161392,1746694877869.469,-45,31,-133
1746694877908.281,161301,1746694877889.313,-36,17,-121
1746694877928.188,161256,1746694877909.156,-44,17,-120
1746694877948.0,161195,1746694877929.031,-41,12,-104
1746694877967.875,161188,1746694877948.906,-48,15,-125
1746694877987.719,161155,1746694877968.75,-42,11,-121
1746694878007.594,161166,1746694877988.625,-45,16,-137
1746694878027.438,161197,1746694878008.469,-39,16,-123
1746694878047.344,161247,1746694878028.375,-49,15,-112
1746694878067.187,161300,1746694878048.219,-41,15,-127
1746694878087.063,161332,1746694878068.063,-47,15,-120
1746694878106.875,161409,1746694878087.938,-37,12,-112
1746694878126.781,161473,1746694878107.812,-48,16,-121
1746694878146.625,161567,1746694878127.656,-37,14,-121
1746694878166.5,161649,1746694878147.469,-32,16,-120
1746694878186.344,161744,1746694878167.375,-37,12,-125
1746694878206.219,161833,1746694878187.25,-47,12,-121
1746694878226.094,161944,1746694878207.094,-32,18,-133
1746694878245.969,162064,1746694878226.969,-39,15,-127
1746694878265.906,162147,1746694878246.844,-58,15,-125
1746694878285.687,162258,1746694878266.687,-47,16,-119
1746694878305.531,162374,1746694878286.562,-48,14,-121
1746694878325.406,162469,1746694878306.438,-36,9,-112
1746694878345.25,162560,1746694878326.281,-36,15,-126
1746694878365.156,162675,1746694878346.1558,-49,9,-125
1746694878385.0,162791,1746694878366.0,-39,4,-112
1746694878404.875,162955,1746694878385.875,-34,12,-112
1746694878424.75,163140,1746694878405.75,-39,14,-129
1746694878444.594,163315,1746694878425.656,-39,15,-127
1746694878464.469,163489,1746694878445.469,-40,12,-128
1746694878484.344,163607,1746694878465.375,-40,17,-121
1746694878504.188,163710,1746694878485.344,-33,20,-125
1746694878524.063,163805,1746694878505.094,-49,28,-125
1746694878544.0,163905,1746694878524.969,-44,16,-125
1746694878563.781,164008,1746694878544.875,-45,18,-125
1746694878583.688,164111,1746694878564.688,-36,17,-130
1746694878603.563,164180,1746694878584.594,-37,11,-125
1746694878623.406,164230,1746694878604.437,-36,17,-125
1746694878643.25,164251,1746694878624.25,-37,17,-125
1746694878663.125,164238,1746694878644.188,-40,15,-125
1746694878683.0,164186,1746694878664.031,-41,27,-111
1746694878702.875,164051,1746694878683.906,-36,12,-121
1746694878722.687,163919,1746694878703.75,-49,10,-112
1746694878742.563,163766,1746694878723.625,-39,9,-112
1746694878762.438,163657,1746694878743.469,-47,12,-121
1746694878782.281,163539,1746694878763.312,-40,15,-125
1746694878802.125,163449,1746694878783.187,-39,12,-121
1746694878822.0,163416,1746694878803.031,-37,16,-120
1746694878841.844,163435,1746694878822.906,-42,15,-129
1746694878861.719,163429,1746694878842.75,-40,14,-127
1746694878881.687,163462,1746694878862.594,-40,15,-127
1746694878901.437,163512,1746694878882.5632,-44,11,-129
1746694878921.281,163525,1746694878902.344,-45,12,-117
1746694878941.188,163573,1746694878922.188,-40,12,-122
1746694878961.0,163595,1746694878942.062,-49,10,-133
1746694878980.875,163597,1746694878961.906,-46,12,-119
1746694879000.75,163589,1746694878981.75,-40,8,-125
1746694879020.594,163560,1746694879001.625,-48,14,-120
1746694879040.437,163548,1746694879021.5,-49,15,-125
1746694879060.312,163509,1746694879041.344,-36,19,-126
1746694879080.188,163501,1746694879061.188,-44,16,-145
1746694879100.063,163479,1746694879081.063,-36,8,-125
1746694879119.906,163492,1746694879100.937,-40,4,-120
1746694879139.781,163535,1746694879120.781,-40,10,-120
1746694879159.656,163557,1746694879140.656,-39,15,-121
1746694879179.5,163573,1746694879160.531,-36,16,-120
1746694879199.344,163599,1746694879180.437,-44,14,-125
1746694879219.187,163625,1746694879200.25,-40,12,-125
1746694879239.062,163657,1746694879220.094,-50,15,-125
1746694879258.969,163681,1746694879239.938,-37,24,-133
1746694879278.813,163697,1746694879259.844,-49,15,-112
1746694879298.75,163697,1746694879279.75,-32,11,-112
1746694879318.562,163705,1746694879299.562,-44,15,-116
1746694879338.438,163760,1746694879319.438,-42,12,-112
1746694879358.25,163761,1746694879339.313,-26,20,-121
1746694879378.187,163791,1746694879359.1868,-37,11,-121
1746694879398.0,163821,1746694879379.062,-40,15,-133
1746694879417.906,163832,1746694879398.875,-39,27,-127
1746694879437.75,163886,1746694879418.781,-34,15,-120
1746694879457.594,163900,1746694879438.656,-49,28,-133
1746694879477.5,163918,1746694879458.5,-40,15,-114
1746694879497.344,163932,1746694879478.375,-39,13,-125
1746694879517.188,163962,1746694879498.219,-47,15,-121
1746694879537.062,163992,1746694879518.187,-36,14,-119
1746694879556.906,164033,1746694879537.906,-39,9,-121
1746694879576.781,164095,1746694879557.813,-36,12,-137
1746694879596.625,164165,1746694879577.688,-48,14,-129
1746694879616.562,164229,1746694879597.5,-39,16,-112
1746694879636.375,164296,1746694879617.4368,-38,13,-112
1746694879656.219,164355,1746694879637.25,-40,11,-121
1746694879676.063,164424,1746694879657.094,-50,11,-125
1746694879695.938,164482,1746694879676.969,-40,12,-127
1746694879715.812,164562,1746694879696.812,-39,15,-122
1746694879735.656,164616,1746694879716.687,-36,16,-127
1746694879755.563,164702,1746694879736.563,-57,11,-133
1746694879775.4058,164783,1746694879756.469,-45,19,-127
1746694879795.281,164852,1746694879776.281,-37,11,-120
1746694879815.125,164897,1746694879796.156,-36,7,-121
1746694879835.031,164866,1746694879816.063,-34,12,-129
1746694879854.906,164808,1746694879835.938,-45,16,-122
1746694879874.75,164678,1746694879855.781,-36,24,-128
1746694879894.594,164544,1746694879875.625,-40,19,-125
1746694879914.5,164425,1746694879895.5,-32,16,-133
1746694879934.344,164296,1746694879915.406,-39,22,-130
1746694879954.219,164203,1746694879935.25,-37,14,-137
1746694879974.062,164116,1746694879955.062,-37,19,-120
1746694879993.938,164103,1746694879975.0,-47,15,-125
1746694880013.813,164112,1746694879994.813,-36,15,-121
1746694880033.687,164120,1746694880014.656,-48,14,-120
1746694880053.5,164153,1746694880034.531,-39,12,-120
1746694880073.406,164180,1746694880054.406,-36,15,-112
1746694880093.281,164199,1746694880074.281,-49,1,-125
1746694880113.156,164209,1746694880094.125,-32,17,-120
1746694880133.0618,164240,1746694880114.031,-34,14,-121
1746694880152.875,164232,1746694880133.938,-48,11,-116
1746694880172.75,164220,1746694880153.719,-40,15,-125
1746694880192.625,164174,1746694880173.563,-42,9,-116
1746694880212.469,164195,1746694880193.5,-41,12,-128
1746694880232.375,164190,1746694880213.375,-45,9,-112
1746694880252.25,164172,1746694880233.219,-34,18,-112
1746694880272.125,164198,1746694880253.125,-39,14,-127
1746694880291.969,164228,1746694880273.0,-49,16,-121
1746694880311.812,164249,1746694880292.875,-55,14,-112
1746694880331.719,164308,1746694880312.719,-45,15,-125
1746694880351.562,164401,1746694880332.562,-47,15,-125
1746694880371.406,164466,1746694880352.437,-40,9,-120
1746694880391.281,164577,1746694880372.313,-40,16,-125
1746694880411.156,164712,1746694880392.188,-42,17,-127
1746694880431.031,164860,1746694880412.031,-34,15,-130
1746694880450.875,165049,1746694880431.906,-41,11,-120
1746694880470.75,165224,1746694880451.781,-52,11,-125
1746694880490.594,165479,1746694880471.625,-36,14,-126
1746694880510.438,165739,1746694880491.469,-37,11,-128
1746694880530.312,166048,1746694880511.375,-40,22,-125
1746694880550.187,166302,1746694880531.219,-36,28,-137
1746694880570.0632,166524,1746694880551.063,-36,22,-133
1746694880589.906,166697,1746694880570.938,-36,12,-125
1746694880609.781,166818,1746694880590.844,-48,16,-120
1746694880629.656,166900,1746694880610.656,-39,16,-133
1746694880649.5,166987,1746694880630.531,-53,8,-121
1746694880669.344,167053,1746694880650.469,-42,7,-125
1746694880689.219,167087,1746694880670.281,-40,13,-126
1746694880709.094,167141,1746694880690.094,-45,9,-125
1746694880728.969,167130,1746694880709.969,-36,15,-125
1746694880748.813,167110,1746694880729.875,-34,15,-122
1746694880768.687,167042,1746694880749.75,-36,14,-123
1746694880788.594,167001,1746694880769.562,-45,13,-112
1746694880808.469,166960,1746694880789.469,-45,12,-125
1746694880828.281,166897,1746694880809.375,-12,8,-121
1746694880848.187,166876,1746694880829.187,-36,7,-114
1746694880868.031,166806,1746694880849.062,-49,12,-125
1746694880887.906,166735,1746694880868.938,-43,20,-121
1746694880907.75,166679,1746694880888.781,-36,7,-129
1746694880927.625,166597,1746694880908.6558,-45,12,-125
1746694880947.469,166532,1746694880928.5,-38,4,-115
1746694880967.344,166494,1746694880948.312,-37,8,-120
1746694880987.188,166445,1746694880968.219,-37,17,-129
1746694881007.063,166359,1746694880988.094,-38,17,-137
1746694881026.937,166218,1746694881007.937,-36,15,-133
1746694881046.812,166053,1746694881027.812,-40,14,-127
1746694881066.656,165871,1746694881047.719,-48,15,-122
1746694881086.531,165714,1746694881067.563,-39,9,-121
1746694881106.375,165556,1746694881087.375,-36,14,-120
1746694881126.25,165409,1746694881107.25,-45,15,-125
1746694881146.094,165329,1746694881127.156,-45,15,-125
1746694881165.969,165296,1746694881147.0,-48,7,-127
1746694881185.875,165314,1746694881166.844,-36,3,-133
1746694881205.719,165357,1746694881186.75,-36,14,-126
1746694881225.594,165427,1746694881206.625,-41,8,-133
1746694881245.438,165471,1746694881226.469,-36,15,-127
1746694881265.375,165519,1746694881246.344,-49,18,-120
1746694881285.156,165567,1746694881266.219,-36,7,-116
1746694881305.031,165619,1746694881286.063,-37,15,-125
1746694881324.875,165634,1746694881305.969,-48,12,-121
1746694881344.781,165641,1746694881325.781,-40,16,-145
1746694881364.625,165631,1746694881345.656,-34,12,-125
1746694881384.5,165605,1746694881365.563,-44,11,-111
1746694881404.375,165566,1746694881385.406,-37,9,-130
1746694881424.25,165526,1746694881405.25,-36,14,-129
1746694881444.094,165519,1746694881425.125,-47,16,-136
1746694881464.0,165510,1746694881445.031,-45,12,-121
1746694881483.844,165532,1746694881464.844,-40,12,-112
1746694881503.719,165550,1746694881484.75,-48,15,-112
1746694881523.562,165581,1746694881504.594,-40,23,-121
1746694881543.437,165584,1746694881524.5,-48,17,-121
1746694881563.344,165589,1746694881544.313,-29,14,-120
1746694881583.188,165647,1746694881564.188,-44,12,-120
1746694881603.031,165659,1746694881584.094,-41,19,-125
1746694881622.906,165696,1746694881603.969,-36,20,-125
1746694881642.781,165732,1746694881623.781,-49,16,-133
1746694881662.656,165781,1746694881643.687,-37,19,-121
1746694881682.5,165823,1746694881663.531,-36,24,-127
1746694881702.375,165865,1746694881683.406,-44,16,-125
1746694881722.281,165897,1746694881703.25,-49,16,-112
1746694881742.156,165928,1746694881723.125,-45,15,-120
1746694881761.969,165984,1746694881743.031,-39,16,-125
1746694881781.844,166037,1746694881762.906,-50,15,-121
1746694881801.688,166129,1746694881782.75,-40,18,-120
1746694881821.563,166196,1746694881802.594,-45,17,-125
1746694881841.375,166280,1746694881822.437,-37,19,-120
