Local: ,2025-05-08 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1746655200000.0
Timestamp,Seq No.,ECG data
1746694284344.031,0,39313
1746694284345.031,0,38126
1746694284346.031,0,37083
1746694284347.031,0,36201
1746694284348.031,0,35447
1746694284348.906,0,34854
1746694284349.906,0,34376
1746694284350.906,0,34016
1746694284351.906,0,33751
1746694284352.906,0,33555
1746694284353.906,0,33413
1746694284354.906,1,33320
1746694284355.906,1,33256
1746694284356.906,1,33227
1746694284357.906,1,33211
1746694284358.906,1,33201
1746694284359.906,1,33205
1746694284360.906,1,33211
1746694284361.906,1,33217
1746694284362.906,1,33225
1746694284363.906,1,33227
1746694284364.813,1,33230
1746694284365.813,2,33233
1746694284366.812,2,33245
1746694284367.813,2,33243
1746694284368.812,2,33240
1746694284369.813,2,33231
1746694284370.812,2,33221
1746694284371.813,2,33209
1746694284372.812,2,33193
1746694284373.813,2,33173
1746694284374.8118,2,33155
1746694284375.813,2,33142
1746694284376.812,3,33132
1746694284377.813,3,33122
1746694284378.812,3,33129
1746694284379.813,3,33130
1746694284380.719,3,33125
1746694284381.719,3,33117
1746694284382.719,3,33101
1746694284383.719,3,33087
1746694284384.719,3,33079
1746694284385.719,3,33066
1746694284386.719,3,33058
1746694284387.719,4,33046
1746694284388.719,4,33035
1746694284389.719,4,33024
1746694284390.719,4,33019
1746694284391.719,4,33016
1746694284392.719,4,33013
1746694284393.719,4,33011
1746694284394.719,4,33015
1746694284395.719,4,33014
1746694284396.562,4,32997
1746694284397.563,4,32993
1746694284398.562,5,32987
1746694284399.563,5,32985
1746694284400.562,5,32973
1746694284401.563,5,32959
1746694284402.562,5,32947
1746694284403.563,5,32941
1746694284404.562,5,32931
1746694284405.562,5,32924
1746694284406.563,5,32917
1746694284407.562,5,32915
1746694284408.563,5,32914
1746694284409.562,6,32905
1746694284410.563,6,32915
1746694284411.562,6,32915
1746694284412.438,6,32915
1746694284413.437,6,32917
1746694284414.438,6,32909
1746694284415.437,6,32901
1746694284416.437,6,32897
1746694284417.438,6,32891
1746694284418.437,6,32881
1746694284419.438,6,32878
1746694284420.437,7,32870
1746694284421.438,7,32873
1746694284422.437,7,32870
1746694284423.438,7,32869
1746694284424.437,7,32874
1746694284425.438,7,32871
1746694284426.437,7,32881
1746694284427.438,7,32880
1746694284428.313,7,32878
1746694284429.312,7,32873
1746694284430.313,7,32869
1746694284431.312,8,32882
1746694284432.313,8,32908
1746694284433.312,8,32929
1746694284434.313,8,32919
1746694284435.312,8,32901
1746694284436.313,8,32886
1746694284437.3118,8,32865
1746694284438.313,8,32850
1746694284439.312,8,32842
1746694284440.313,8,32819
1746694284441.312,8,32798
1746694284442.313,9,32787
1746694284443.312,9,32775
1746694284444.25,9,32759
1746694284445.25,9,32756
1746694284446.25,9,32753
1746694284447.25,9,32754
1746694284448.25,9,32747
1746694284449.25,9,32737
1746694284450.25,9,32731
1746694284451.25,9,32722
1746694284452.25,9,32721
1746694284453.25,10,32725
1746694284454.25,10,32719
1746694284455.25,10,32725
1746694284456.25,10,32748
1746694284457.25,10,32802
