Local: ,2025-05-08 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1746655200000.0
PPG Timestamp,PPG,ADXL Timestamp,X,Y,Z
1746694284382.688,174666,1746694284363.688,-17,8,-133
1746694284422.375,174887,1746694284403.437,-16,14,-143
1746694284442.25,174957,1746694284423.313,-25,12,-128
1746694284462.094,174975,1746694284443.156,-23,8,-130
1746694284481.9692,174914,1746694284463.031,-13,11,-130
1746694284501.812,174820,1746694284482.875,-16,12,-133
1746694284521.687,174631,1746694284502.719,-18,12,-137
1746694284541.594,174447,1746694284522.563,-17,12,-137
1746694284561.438,174262,1746694284542.469,-15,16,-151
1746694284581.281,174102,1746694284562.344,-16,14,-138
1746694284601.187,174034,1746694284582.187,-25,12,-141
1746694284621.031,173988,1746694284602.063,-25,14,-128
1746694284640.906,173972,1746694284621.906,-25,13,-136
1746694284660.75,174004,1746694284641.812,-13,15,-137
1746694284680.625,173971,1746694284661.656,-18,8,-137
1746694284700.5,173959,1746694284681.531,-16,16,-141
1746694284720.344,173946,1746694284701.406,-22,12,-141
1746694284740.2192,173944,1746694284721.25,-7,9,-137
1746694284760.094,173940,1746694284741.125,-15,15,-133
1746694284779.938,173908,1746694284760.969,-24,12,-141
1746694284799.813,173836,1746694284780.844,-17,18,-130
1746694284819.719,173774,1746694284800.719,-15,15,-135
1746694284839.531,173729,1746694284820.5618,-23,12,-135
1746694284859.375,173666,1746694284840.438,-10,13,-132
1746694284879.25,173601,1746694284860.281,-25,14,-125
1746694284899.094,173600,1746694284880.187,-21,31,-137
1746694284919.0,173637,1746694284900.0,-18,8,-137
1746694284938.812,173696,1746694284919.844,-24,7,-136
1746694284958.688,173798,1746694284939.75,-21,15,-133
1746694284978.563,173893,1746694284959.625,-24,14,-137
1746694284998.437,173985,1746694284979.437,-13,4,-141
1746694285018.281,174057,1746694284999.344,-20,15,-141
1746694285038.156,174118,1746694285019.188,-18,14,-143
1746694285058.031,174159,1746694285039.062,-16,16,-135
1746694285077.906,174250,1746694285058.937,-16,15,-133
1746694285097.75,174308,1746694285078.813,-18,15,-141
1746694285117.625,174329,1746694285098.688,-18,10,-137
1746694285137.5,174369,1746694285118.531,-24,12,-137
1746694285157.5,174400,1746694285138.375,-16,7,-142
1746694285177.219,174465,1746694285158.375,-23,10,-145
1746694285197.094,174556,1746694285178.125,-20,7,-129
1746694285216.969,174608,1746694285197.969,-13,15,-135
1746694285236.812,174657,1746694285217.875,-20,14,-137
1746694285256.656,174705,1746694285237.687,-23,16,-132
1746694285276.563,174768,1746694285257.5632,-22,14,-144
1746694285296.406,174880,1746694285277.438,-32,15,-136
1746694285316.281,174966,1746694285297.281,-16,15,-130
1746694285336.156,175061,1746694285317.187,-25,15,-137
1746694285356.031,175173,1746694285337.094,-25,7,-131
1746694285375.906,175277,1746694285356.906,-13,14,-137
1746694285395.781,175366,1746694285376.812,-20,9,-125
1746694285415.594,175495,1746694285396.656,-24,15,-128
1746694285435.5,175607,1746694285416.531,-13,11,-136
1746694285455.344,175780,1746694285436.406,-29,14,-137
1746694285475.25,175915,1746694285456.25,-26,12,-133
1746694285495.062,176041,1746694285476.125,-20,9,-133
1746694285514.969,176114,1746694285496.0,-17,9,-137
1746694285534.844,176161,1746694285515.844,-20,16,-137
1746694285554.688,176147,1746694285535.719,-17,3,-133
1746694285574.531,176125,1746694285555.594,-15,6,-137
1746694285594.406,176044,1746694285575.438,-13,6,-125
1746694285614.281,175893,1746694285595.25,-10,14,-136
1746694285634.094,175748,1746694285615.156,-16,20,-141
1746694285654.0,175597,1746694285635.031,-16,18,-143
1746694285673.875,175514,1746694285654.906,-2,15,-136
1746694285693.75,175459,1746694285674.781,-25,3,-132
1746694285713.594,175450,1746694285694.625,-25,15,-137
1746694285733.469,175486,1746694285714.531,-16,15,-135
1746694285753.344,175537,1746694285734.375,-20,16,-128
1746694285773.219,175549,1746694285754.219,-20,16,-141
1746694285793.063,175575,1746694285774.125,-15,15,-137
1746694285812.906,175614,1746694285793.969,-19,9,-135
1746694285832.781,175650,1746694285813.781,-25,8,-136
1746694285852.656,175676,1746694285833.688,-24,12,-141
1746694285872.469,175659,1746694285853.5308,-15,15,-133
1746694285892.375,175617,1746694285873.437,-20,15,-128
1746694285912.219,175588,1746694285893.25,-20,15,-130
1746694285932.094,175531,1746694285913.125,-25,24,-137
1746694285952.063,175458,1746694285933.0,-25,14,-134
1746694285971.781,175384,1746694285952.969,-16,12,-137
1746694285991.687,175354,1746694285972.687,-20,17,-132
1746694286011.563,175333,1746694285992.563,-17,15,-137
1746694286031.375,175332,1746694286012.438,-21,31,-137
1746694286051.25,175388,1746694286032.281,-21,12,-144
1746694286071.125,175434,1746694286052.125,-13,12,-141
1746694286090.969,175450,1746694286072.0,-13,5,-130
