Local: ,2025-05-22 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1747864800000.0
Timestamp,Seq No.,ECG data
1747907046327.063,0,47436
1747907046328.062,0,45293
1747907046329.063,0,43321
1747907046330.062,0,41549
1747907046331.063,0,40011
1747907046331.937,0,38739
1747907046332.938,0,37687
1747907046333.937,0,36873
1747907046334.938,0,36260
1747907046335.938,0,35817
1747907046336.937,0,35515
1747907046337.938,1,35326
1747907046338.937,1,35214
1747907046339.938,1,35169
1747907046340.937,1,35167
1747907046341.938,1,35175
1747907046342.937,1,35197
1747907046343.9382,1,35217
1747907046344.937,1,35234
1747907046345.938,1,35247
1747907046346.937,1,35247
1747907046347.812,1,35232
1747907046348.813,2,35219
1747907046349.812,2,35202
1747907046350.813,2,35193
1747907046351.8118,2,35175
1747907046352.813,2,35163
1747907046353.812,2,35136
1747907046354.813,2,35115
1747907046355.812,2,35103
1747907046356.813,2,35097
1747907046357.812,2,35086
1747907046358.813,2,35062
1747907046359.812,3,35043
1747907046360.813,3,35011
1747907046361.812,3,34977
1747907046362.813,3,34939
1747907046363.719,3,34899
1747907046364.719,3,34855
1747907046365.719,3,34820
1747907046366.719,3,34794
1747907046367.719,3,34774
1747907046368.719,3,34763
1747907046369.719,3,34752
1747907046370.719,4,34747
1747907046371.719,4,34749
1747907046372.719,4,34754
1747907046373.719,4,34744
1747907046374.719,4,34731
1747907046375.719,4,34716
1747907046376.719,4,34697
1747907046377.719,4,34675
1747907046378.719,4,34651
1747907046379.562,4,34616
1747907046380.563,4,34581
1747907046381.562,5,34551
1747907046382.5632,5,34523
1747907046383.562,5,34509
1747907046384.563,5,34495
1747907046385.562,5,34481
1747907046386.563,5,34480
1747907046387.563,5,34492
1747907046388.562,5,34499
1747907046389.563,5,34501
1747907046390.562,5,34497
1747907046391.563,5,34479
1747907046392.562,6,34470
1747907046393.563,6,34458
1747907046394.562,6,34457
1747907046395.438,6,34439
1747907046396.437,6,34408
1747907046397.438,6,34382
1747907046398.438,6,34361
1747907046399.437,6,34341
1747907046400.438,6,34326
1747907046401.437,6,34313
1747907046402.438,6,34302
1747907046403.437,7,34296
1747907046404.438,7,34296
1747907046405.437,7,34296
1747907046406.4382,7,34293
1747907046407.437,7,34287
1747907046408.438,7,34278
1747907046409.437,7,34268
1747907046410.438,7,34252
1747907046411.313,7,34227
1747907046412.312,7,34213
1747907046413.313,7,34208
1747907046414.3118,8,34208
1747907046415.313,8,34202
1747907046416.312,8,34199
1747907046417.313,8,34188
1747907046418.312,8,34169
1747907046419.313,8,34165
1747907046420.312,8,34170
1747907046421.313,8,34168
1747907046422.312,8,34151
1747907046423.313,8,34137
1747907046424.312,8,34123
1747907046425.313,9,34113
1747907046426.312,9,34107
1747907046427.25,9,34086
1747907046428.25,9,34063
1747907046429.25,9,34047
1747907046430.25,9,34035
1747907046431.25,9,34035
1747907046432.25,9,34043
1747907046433.25,9,34050
1747907046434.25,9,34102
1747907046435.25,9,34250
1747907046436.25,10,34530
1747907046437.25,10,34951
1747907046438.25,10,35498
1747907046439.25,10,36146
1747907046440.25,10,36883
