recording_1_ecgppg_biopac_clean_data.acq
Graph Created on: 2025-05-22 11:33:37.664
Recording on: 2025-05-22 11:43:51.760
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
milliSec	CH1	CH13	
	337805 samples	337805 samples	
0	2.69562	-0.0384521	
1	2.69287	-0.0410461	
2	2.69226	-0.040741	
3	2.69257	-0.0370789	
4	2.69104	-0.0346375	
5	2.68738	-0.0344849	
6	2.68768	-0.0323486	
7	2.68311	-0.0315857	
8	2.68219	-0.0323486	
9	2.68097	-0.032959	
10	2.67731	-0.0340271	
11	2.67639	-0.0350952	
12	2.67273	-0.0360107	
13	2.6712	-0.0317383	
14	2.66815	-0.0276184	
15	2.66785	-0.0262451	
16	2.66449	-0.025177	
17	2.65869	-0.027771	
18	2.65808	-0.0238037	
19	2.65472	-0.0183105	
20	2.65259	-0.0213623	
21	2.64893	-0.0253296	
22	2.6474	-0.0300598	
23	2.63977	-0.0341797	
24	2.63824	-0.0360107	
25	2.63489	-0.0315857	
26	2.62939	-0.0292969	
27	2.62512	-0.0300598	
28	2.62238	-0.0314331	
29	2.61871	-0.0300598	
30	2.61536	-0.0294495	
31	2.61047	-0.0309753	
32	2.60803	-0.032196	
33	2.60345	-0.0338745	
34	2.59827	-0.0361633	
35	2.59399	-0.0352478	
36	2.58942	-0.0276184	
37	2.58514	-0.0256348	
38	2.58087	-0.0245667	
39	2.57538	-0.0263977	
40	2.5708	-0.0260925	
41	2.56622	-0.0216675	
42	2.56104	-0.0163269	
43	2.55676	-0.0126648	
44	2.55341	-0.0120544	
45	2.54913	-0.0158691	
46	2.54517	-0.0244141	
47	2.53906	-0.032196	
48	2.53448	-0.0283813	
49	2.53052	-0.0245667	
50	2.52563	-0.0259399	
51	2.52075	-0.0309753	
52	2.51251	-0.0297546	
53	2.50732	-0.0294495	
54	2.50153	-0.0302124	
55	2.49634	-0.0341797	
56	2.49115	-0.0361633	
57	2.48596	-0.0308228	
58	2.48138	-0.0215149	
59	2.4765	-0.0202942	
60	2.47162	-0.0233459	
61	2.46368	-0.0262451	
62	2.45728	-0.0286865	
63	2.453	-0.0292969	
64	2.4472	-0.0291443	
65	2.44171	-0.0285339	
66	2.43683	-0.0233459	
67	2.4292	-0.0218201	
68	2.4231	-0.0236511	
69	2.41669	-0.0273132	
70	2.40997	-0.0283813	
71	2.40356	-0.0262451	
72	2.39746	-0.0244141	
73	2.39258	-0.0257874	
74	2.38678	-0.0244141	
75	2.37854	-0.0224304	
76	2.37305	-0.020752	
77	2.36603	-0.0236511	
78	2.35931	-0.0216675	
79	2.35382	-0.0158691	
80	2.34497	-0.0154114	
81	2.33948	-0.0167847	
82	2.33185	-0.0183105	
83	2.32666	-0.015564	
84	2.32025	-0.0109863	
85	2.31262	-0.0151062	
86	2.30682	-0.0218201	
87	2.30042	-0.0230408	
88	2.29309	-0.025177	
89	2.28546	-0.0262451	
90	2.27814	-0.025177	
91	2.27142	-0.0300598	
92	2.26593	-0.0366211	
93	2.25708	-0.0361633	
94	2.25037	-0.0300598	
95	2.24182	-0.0268555	
96	2.23633	-0.0245667	
97	2.22778	-0.0213623	
98	2.22107	-0.0195313	
99	2.21375	-0.0177002	
100	2.20764	-0.0172424	
101	2.1991	-0.017395	
102	2.19299	-0.0152588	
103	2.18719	-0.0138855	
104	2.18201	-0.0120544	
105	2.17377	-0.012207	
106	2.16797	-0.0138855	
107	2.16309	-0.0140381	
108	2.15607	-0.00976563	
109	2.15057	-0.00534058	
110	2.14447	-0.00549316	
111	2.13867	-0.00717163	
112	2.13135	-0.00671387	
113	2.12891	-0.00228882	
114	2.11945	-0.000305176	
115	2.11395	-0.00274658	
116	2.10876	-0.00350952	
117	2.10327	-0.00427246	
118	2.09656	-0.00198364	
119	2.09381	-0.00152588	
120	2.08893	-0.00244141	
121	2.08191	-0.00732422	
122	2.0752	-0.0120544	
123	2.0697	-0.0163269	
124	2.06604	-0.0161743	
125	2.06055	-0.0120544	
126	2.05627	-0.00976563	
127	2.05261	-0.00946045	
128	2.04773	-0.012207	
129	2.04254	-0.0164795	
130	2.03705	-0.0192261	
131	2.03522	-0.0170898	
132	2.03003	-0.012207	
133	2.02759	-0.00717163	
134	2.02332	-0.00473022	
135	2.01813	-0.00564575	
136	2.01172	-0.00442505	
137	2.00714	-0.00320435	
138	2.005	-0.00595093	
139	2.00104	-0.0109863	
140	1.99585	-0.0152588	
141	1.99219	-0.019989	
142	1.99097	-0.0260925	
143	1.98669	-0.0314331	
144	1.9812	-0.0297546	
145	1.97845	-0.0276184	
146	1.97388	-0.027771	
147	1.97266	-0.0320435	
148	1.96808	-0.0382996	
149	1.96838	-0.0434875	
150	1.96411	-0.043335	
151	1.96136	-0.0389099	
152	1.95831	-0.0367737	
153	1.9577	-0.0370789	
154	1.95496	-0.0434875	
155	1.95374	-0.0497437	
156	1.95313	-0.0556946	
157	1.94977	-0.0556946	
158	1.94885	-0.052948	
159	1.9455	-0.0523376	
160	1.94611	-0.0546265	
161	1.94397	-0.0563049	
162	1.94366	-0.0590515	
163	1.93909	-0.0640869	
164	1.93787	-0.0701904	
165	1.93878	-0.0756836	
166	1.93481	-0.0788879	
167	1.93329	-0.0816345	
168	1.9339	-0.0831604	
169	1.93085	-0.0814819	
170	1.93237	-0.0787354	
171	1.92963	-0.0762939	
172	1.92719	-0.0756836	
173	1.92596	-0.0759888	
174	1.92444	-0.0747681	
175	1.92413	-0.075531	
176	1.92352	-0.0772095	
177	1.92261	-0.0778198	
178	1.91925	-0.0811768	
179	1.91864	-0.0839233	
180	1.91864	-0.0854492	
181	1.91925	-0.0854492	
182	1.91925	-0.0869751	
183	1.91864	-0.0878906	
184	1.91772	-0.0883484	
185	1.91833	-0.0900269	
186	1.91498	-0.0912476	
187	1.91406	-0.092926	
188	1.91345	-0.0939941	
189	1.91254	-0.0907898	
190	1.91345	-0.090332	
191	1.91254	-0.0933838	
192	1.91193	-0.0979614	
193	1.90887	-0.0996399	
194	1.90735	-0.0982666	
195	1.90674	-0.0975037	
196	1.90491	-0.102692	
197	1.9046	-0.107727	
198	1.90308	-0.112762	
199	1.89972	-0.116882	
200	1.90155	-0.119629	
201	1.89972	-0.119934	
202	1.89789	-0.118103	
203	1.89728	-0.117645	
204	1.89514	-0.115051	
205	1.89087	-0.110931	
206	1.88995	-0.110779	
207	1.88812	-0.114288	
208	1.88477	-0.115051	
209	1.88416	-0.11795	
210	1.8808	-0.120239	
211	1.87927	-0.12207	
212	1.87592	-0.122528	
213	1.875	-0.121307	
214	1.87225	-0.123138	
215	1.87012	-0.12619	
216	1.86676	-0.131531	
217	1.86493	-0.132294	
218	1.86371	-0.133057	
219	1.86066	-0.136414	
220	1.8576	-0.13443	
221	1.85608	-0.126953	
222	1.85425	-0.113983	
223	1.8512	-0.100708	
224	1.84937	-0.0953674	
225	1.84601	-0.0923157	
226	1.8457	-0.0878906	
227	1.84174	-0.0831604	
228	1.84052	-0.078125	
229	1.8396	-0.0740051	
230	1.83899	-0.0701904	
231	1.83533	-0.0602722	
232	1.83594	-0.045929	
233	1.83136	-0.0338745	
234	1.83044	-0.0259399	
235	1.82953	-0.0157166	
236	1.82587	0.000915527	
237	1.82373	0.0190735	
238	1.82159	0.0340271	
239	1.81946	0.0456238	
240	1.8161	0.0553894	
241	1.8158	0.0617981	
242	1.81244	0.0691223	
243	1.8103	0.0756836	
244	1.80634	0.0747681	
245	1.80481	0.0691223	
246	1.80145	0.068512	
247	1.7984	0.0653076	
