Local: ,2025-05-22 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1747864800000.0
PPG Timestamp,PPG,ADXL Timestamp,X,Y,Z
1747907046663.406,237326,1747907046644.469,-81,-33,-121
1747907046683.25,237359,1747907046664.281,-79,-32,-121
1747907046703.094,237388,1747907046684.188,-80,-32,-121
1747907046722.938,237420,1747907046704.0,-77,-34,-119
1747907046742.781,237456,1747907046723.875,-75,-33,-121
1747907046762.656,237508,1747907046743.719,-89,-32,-122
1747907046782.5,237566,1747907046763.562,-89,-36,-118
1747907046802.344,237583,1747907046783.406,-80,-33,-122
1747907046822.188,237634,1747907046803.281,-80,-32,-124
1747907046842.031,237680,1747907046823.125,-87,-32,-116
1747907046861.937,237737,1747907046842.969,-97,-32,-124
1747907046881.75,237752,1747907046862.844,-84,-29,-125
1747907046901.656,237694,1747907046882.656,-77,-39,-122
1747907046921.438,237592,1747907046902.5,-84,-33,-120
1747907046941.312,237441,1747907046922.375,-79,-36,-122
1747907046961.125,237287,1747907046942.219,-88,-29,-118
1747907046981.0,237126,1747907046962.094,-80,-32,-137
1747907047000.844,236981,1747907046981.906,-88,-32,-121
1747907047020.688,236863,1747907047001.781,-80,-31,-118
1747907047040.531,236753,1747907047021.625,-76,-36,-116
1747907047060.375,236692,1747907047041.469,-87,-36,-121
1747907047080.25,236631,1747907047061.281,-88,-34,-121
1747907047100.125,236589,1747907047081.156,-79,-34,-121
1747907047119.969,236576,1747907047101.031,-81,-29,-121
1747907047139.812,236572,1747907047120.906,-79,-32,-121
1747907047159.688,236557,1747907047140.75,-87,-26,-114
1747907047179.563,236556,1747907047160.563,-78,-37,-117
1747907047199.375,236526,1747907047180.469,-77,-37,-117
1747907047219.25,236492,1747907047200.344,-84,-34,-121
1747907047239.094,236443,1747907047220.156,-88,-29,-121
1747907047258.938,236430,1747907047240.0,-80,-45,-118
1747907047278.781,236406,1747907047259.875,-89,-34,-116
1747907047298.625,236378,1747907047279.687,-74,-39,-121
1747907047318.5,236403,1747907047299.562,-80,-40,-129
1747907047338.344,236387,1747907047319.406,-83,-33,-121
1747907047358.156,236398,1747907047339.25,-80,-36,-130
1747907047378.031,236442,1747907047359.125,-87,-33,-114
1747907047397.906,236452,1747907047378.969,-80,-32,-113
1747907047417.781,236477,1747907047398.813,-84,-32,-121
1747907047437.625,236532,1747907047418.781,-77,-34,-120
1747907047457.5,236573,1747907047438.562,-84,-33,-121
1747907047477.344,236604,1747907047458.406,-93,-36,-121
1747907047497.219,236660,1747907047478.25,-95,-33,-118
1747907047517.094,236705,1747907047498.156,-80,-36,-120
1747907047536.906,236798,1747907047518.0308,-78,-32,-116
1747907047556.75,236816,1747907047537.812,-87,-34,-112
1747907047576.625,236819,1747907047557.687,-80,-34,-121
1747907047596.437,236736,1747907047577.531,-97,-10,-117
1747907047616.313,236588,1747907047597.375,-77,-32,-121
1747907047636.219,236431,1747907047617.219,-88,-34,-116
1747907047656.0618,236231,1747907047637.094,-83,-41,-103
1747907047675.875,236060,1747907047657.031,-80,-32,-121
1747907047695.719,235886,1747907047676.813,-87,-36,-124
1747907047715.594,235758,1747907047696.656,-77,-31,-128
1747907047735.469,235641,1747907047716.5,-84,-36,-121
1747907047755.25,235561,1747907047736.375,-74,-32,-122
1747907047775.125,235489,1747907047756.219,-79,-29,-121
1747907047795.0,235454,1747907047776.031,-92,-33,-121
1747907047814.844,235412,1747907047795.969,-92,-34,-117
1747907047834.719,235386,1747907047815.781,-78,-32,-127
1747907047854.562,235351,1747907047835.656,-94,-36,-114
1747907047874.5,235307,1747907047855.5,-72,-37,-121
1747907047894.313,235262,1747907047875.344,-89,-32,-120
1747907047914.125,235220,1747907047895.219,-81,-36,-122
1747907047933.969,235183,1747907047915.094,-82,-24,-117
1747907047953.938,235127,1747907047934.906,-87,-32,-122
1747907047973.688,235102,1747907047954.844,-80,-32,-121
1747907047993.531,235104,1747907047974.625,-84,-33,-113
1747907048013.406,235090,1747907047994.5,-93,-34,-116
1747907048033.25,235099,1747907048014.344,-80,-38,-118
1747907048053.188,235101,1747907048034.188,-85,-36,-121
1747907048073.031,235117,1747907048054.062,-80,-32,-125
1747907048092.875,235135,1747907048073.937,-80,-33,-125
1747907048112.719,235197,1747907048093.75,-88,-36,-121
1747907048132.594,235200,1747907048113.625,-87,-32,-125
1747907048152.406,235243,1747907048133.5,-80,-32,-116
1747907048172.25,235275,1747907048153.375,-82,-36,-116
1747907048192.125,235341,1747907048173.187,-84,-35,-115
1747907048211.937,235382,1747907048193.031,-82,-34,-114
1747907048231.781,235407,1747907048212.875,-84,-40,-116
1747907048251.625,235342,1747907048232.719,-79,-32,-122
1747907048271.5,235216,1747907048252.594,-88,-32,-128
1747907048291.375,235013,1747907048272.406,-80,-33,-122
1747907048311.188,234776,1747907048292.281,-89,-32,-121
1747907048331.063,234569,1747907048312.125,-80,-20,-121
1747907048350.937,234363,1747907048332.031,-90,-34,-121
1747907048370.781,234174,1747907048351.875,-80,-34,-117
1747907048390.625,234006,1747907048371.719,-88,-36,-112
1747907048410.5,233863,1747907048391.563,-79,-36,-116
1747907048430.313,233765,1747907048411.437,-90,-32,-118
1747907048450.187,233670,1747907048431.219,-77,-32,-121
1747907048470.031,233602,1747907048451.125,-79,-33,-117
1747907048489.875,233548,1747907048470.969,-89,-34,-121
1747907048509.75,233508,1747907048490.813,-81,-32,-121
1747907048529.594,233437,1747907048510.656,-89,-33,-124
1747907048549.437,233390,1747907048530.531,-77,-34,-118
1747907048569.281,233317,1747907048550.375,-81,-37,-118
1747907048589.125,233274,1747907048570.219,-89,-32,-114
1747907048608.969,233226,1747907048590.031,-64,-31,-119
1747907048628.844,233182,1747907048609.906,-81,-36,-121
1747907048648.656,233148,1747907048629.781,-92,-35,-116
1747907048668.531,233138,1747907048649.625,-79,-32,-114
1747907048688.406,233124,1747907048669.4692,-87,-36,-116
1747907048708.281,233136,1747907048689.312,-88,-32,-118
1747907048728.094,233154,1747907048709.187,-79,-31,-128
1747907048747.969,233184,1747907048729.063,-77,-30,-122
1747907048767.781,233219,1747907048748.875,-80,-34,-118
1747907048787.656,233266,1747907048768.719,-93,-34,-119
1747907048807.5,233290,1747907048788.562,-77,-34,-120
1747907048827.344,233346,1747907048808.438,-84,-30,-117
1747907048847.219,233390,1747907048828.281,-88,-32,-118
1747907048867.188,233444,1747907048848.125,-79,-32,-121
1747907048886.906,233498,1747907048868.031,-80,-36,-120
1747907048906.75,233498,1747907048887.844,-93,-29,-121
1747907048926.625,233421,1747907048907.656,-80,-32,-117
1747907048946.469,233262,1747907048927.563,-97,-37,-116
1747907048966.313,233035,1747907048947.406,-92,-33,-117
1747907048986.156,232774,1747907048967.219,-79,-33,-120
1747907049006.031,232543,1747907048987.094,-79,-32,-114
1747907049025.906,232324,1747907049006.906,-80,-34,-121
1747907049045.75,232123,1747907049026.813,-90,-32,-125
1747907049065.594,231929,1747907049046.656,-90,-34,-112
1747907049085.469,231793,1747907049066.5,-80,-39,-125
1747907049105.313,231679,1747907049086.375,-79,-32,-130
1747907049125.156,231573,1747907049106.25,-80,-36,-120
1747907049145.0,231481,1747907049126.094,-85,-32,-117
1747907049164.844,231427,1747907049145.906,-89,-36,-122
1747907049184.719,231352,1747907049165.781,-79,-33,-118
1747907049204.594,231292,1747907049185.625,-90,-35,-117
1747907049224.406,231231,1747907049205.5308,-80,-34,-125
1747907049244.281,231184,1747907049225.312,-82,-32,-122
1747907049264.156,231107,1747907049245.219,-80,-36,-121
1747907049283.969,231050,1747907049265.063,-79,-32,-126
1747907049303.813,231005,1747907049284.938,-76,-33,-122
1747907049323.719,230963,1747907049304.719,-72,-33,-122
1747907049343.531,230934,1747907049324.625,-96,-33,-125
1747907049363.375,230915,1747907049344.469,-77,-33,-116
1747907049383.25,230915,1747907049364.281,-81,-33,-121
1747907049403.125,230939,1747907049384.156,-81,-32,-129
1747907049422.969,230943,1747907049404.031,-77,-32,-121
1747907049442.812,230970,1747907049423.875,-93,-34,-121
