Local: ,2025-05-22 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1747864800000.0
Timestamp,Seq No.,ECG data
1747907674318.906,0,12354
1747907674319.906,0,12354
1747907674320.906,0,12353
1747907674321.906,0,12356
1747907674322.906,0,12356
1747907674323.75,0,12351
1747907674324.75,0,12356
1747907674325.75,0,12357
1747907674326.75,0,12354
1747907674327.75,0,12355
1747907674328.75,0,12354
1747907674329.75,1,12835
1747907674330.75,1,15124
1747907674331.75,1,17809
1747907674332.75,1,20348
1747907674333.75,1,22871
1747907674334.75,1,25169
1747907674335.75,1,27184
1747907674336.75,1,28906
1747907674337.75,1,30306
1747907674338.75,1,31448
1747907674339.656,1,32323
1747907674340.656,2,32963
1747907674341.656,2,33403
1747907674342.656,2,33694
1747907674343.656,2,33865
1747907674344.656,2,33943
1747907674345.656,2,33956
1747907674346.656,2,33922
1747907674347.656,2,33853
1747907674348.656,2,33771
1747907674349.656,2,33694
1747907674350.656,2,33601
1747907674351.656,3,33513
1747907674352.656,3,33451
1747907674353.656,3,33410
1747907674354.656,3,33375
1747907674355.563,3,33349
1747907674356.562,3,33319
1747907674357.563,3,33302
1747907674358.562,3,33297
1747907674359.5632,3,33293
1747907674360.562,3,33306
1747907674361.563,3,33321
1747907674362.562,4,33331
1747907674363.563,4,33342
1747907674364.562,4,33343
1747907674365.563,4,33335
1747907674366.562,4,33316
1747907674367.563,4,33298
1747907674368.562,4,33288
1747907674369.562,4,33273
1747907674370.563,4,33267
1747907674371.469,4,33254
1747907674372.469,4,33243
1747907674373.469,5,33228
1747907674374.469,5,33221
1747907674375.469,5,33221
1747907674376.469,5,33220
1747907674377.469,5,33225
1747907674378.469,5,33224
1747907674379.469,5,33223
1747907674380.469,5,33215
1747907674381.469,5,33206
1747907674382.469,5,33188
1747907674383.469,5,33176
1747907674384.469,6,33171
1747907674385.469,6,33166
1747907674386.469,6,33173
1747907674387.344,6,33184
1747907674388.344,6,33195
1747907674389.344,6,33192
1747907674390.344,6,33193
1747907674391.344,6,33196
1747907674392.344,6,33183
1747907674393.344,6,33147
1747907674394.344,6,33121
1747907674395.344,7,33104
1747907674396.344,7,33093
1747907674397.344,7,33103
1747907674398.344,7,33105
1747907674399.344,7,33106
1747907674400.344,7,33119
1747907674401.344,7,33138
1747907674402.344,7,33150
1747907674403.188,7,33152
1747907674404.187,7,33147
1747907674405.188,7,33137
1747907674406.187,8,33125
1747907674407.188,8,33111
1747907674408.187,8,33100
1747907674409.188,8,33087
1747907674410.187,8,33081
1747907674411.188,8,33075
1747907674412.187,8,33071
1747907674413.188,8,33070
1747907674414.187,8,33075
1747907674415.188,8,33073
1747907674416.187,8,33069
1747907674417.188,9,33081
1747907674418.187,9,33092
1747907674419.094,9,33101
1747907674420.094,9,33110
1747907674421.094,9,33115
1747907674422.094,9,33129
1747907674423.094,9,33147
1747907674424.094,9,33160
1747907674425.094,9,33170
1747907674426.094,9,33200
1747907674427.094,9,33279
1747907674428.094,10,33399
1747907674429.094,10,33599
1747907674430.094,10,33834
1747907674431.094,10,34144
1747907674432.094,10,34503
1747907674433.094,10,34913
1747907674434.094,10,35346
1747907674435.0,10,35759
1747907674436.0,10,36204
1747907674437.0,10,36637
1747907674438.0,10,37077
1747907674439.0,11,37510
1747907674440.0,11,37908
1747907674441.0,11,38288
1747907674442.0,11,38665
1747907674443.0,11,39049
1747907674444.0,11,39431
1747907674445.0,11,39812
1747907674446.0,11,40185
1747907674447.0,11,40552
1747907674448.0,11,40917
1747907674449.0,11,41283
1747907674450.0,12,41655
1747907674450.906,12,42023
1747907674451.906,12,42403
1747907674452.906,12,42783
1747907674453.906,12,43170
1747907674454.906,12,43523
1747907674455.906,12,43846
1747907674456.906,12,44144
1747907674457.906,12,44449
1747907674458.906,12,44769
1747907674459.906,12,45087
1747907674460.906,13,45420
1747907674461.906,13,45769
1747907674462.9058,13,46141
1747907674463.906,13,46518
1747907674464.906,13,46910
1747907674465.906,13,47315
1747907674466.75,13,47707
1747907674467.75,13,48110
1747907674468.75,13,48507
1747907674469.75,13,48904
1747907674470.75,13,49288
1747907674471.75,14,49652
1747907674472.75,14,49999
1747907674473.75,14,50337
1747907674474.75,14,50672
1747907674475.75,14,50999
1747907674476.75,14,51323
1747907674477.75,14,51632
1747907674478.75,14,51939
1747907674479.75,14,52248
1747907674480.75,14,52557
1747907674481.75,14,52871
1747907674482.656,15,53174
1747907674483.656,15,53485
1747907674484.656,15,53777
1747907674485.656,15,54087
1747907674486.656,15,54386
1747907674487.656,15,54682
1747907674488.656,15,54974
1747907674489.656,15,55259
1747907674490.656,15,55574
1747907674491.656,15,55819
1747907674492.656,15,56074
1747907674493.656,16,56326
1747907674494.656,16,56578
1747907674495.656,16,56795
1747907674496.656,16,57028
1747907674497.656,16,57245
1747907674498.531,16,57468
1747907674499.531,16,57702
1747907674500.531,16,57941
1747907674501.531,16,58194
1747907674502.531,16,58446
1747907674503.531,16,58675
1747907674504.531,17,58891
1747907674505.531,17,59084
1747907674506.531,17,59237
1747907674507.531,17,59362
1747907674508.531,17,59472
1747907674509.531,17,59550
1747907674510.531,17,59624
1747907674511.531,17,59678
1747907674512.531,17,59722
1747907674513.531,17,59775
1747907674514.406,17,59817
1747907674515.406,18,59847
1747907674516.406,18,59875
1747907674517.406,18,59900
1747907674518.406,18,59904
1747907674519.406,18,59922
1747907674520.406,18,59951
1747907674521.406,18,59957
1747907674522.406,18,59949
1747907674523.406,18,59964
1747907674524.406,18,59966
1747907674525.4058,18,59971
1747907674526.406,19,59984
1747907674527.406,19,59976
1747907674528.406,19,59986
1747907674529.406,19,59977
1747907674530.344,19,59995
1747907674531.344,19,59973
1747907674532.344,19,59991
1747907674533.344,19,59984
1747907674534.344,19,59988
1747907674535.344,19,59992
1747907674536.344,19,59984
1747907674537.344,20,59988
1747907674538.344,20,59980
1747907674539.344,20,59990
1747907674540.344,20,59979
1747907674541.344,20,59981
1747907674542.344,20,59987
1747907674543.344,20,59986
1747907674544.344,20,59978
1747907674545.344,20,59977
1747907674546.187,20,59986
1747907674547.188,20,59970
1747907674548.187,21,59988
1747907674549.188,21,59984
1747907674550.187,21,59980
1747907674551.188,21,59976
1747907674552.187,21,59981
1747907674553.188,21,59975
1747907674554.187,21,59991
1747907674555.188,21,59990
1747907674556.187,21,59993
1747907674557.188,21,59997
1747907674558.187,21,59976
1747907674559.188,22,59988
1747907674560.187,22,59974
1747907674561.188,22,59974
1747907674562.063,22,59977
1747907674563.062,22,60002
1747907674564.063,22,59991
1747907674565.062,22,59992
1747907674566.063,22,59993
1747907674567.062,22,59989
1747907674568.063,22,59983
1747907674569.062,22,59998
1747907674570.0632,23,59985
1747907674571.062,23,59998
1747907674572.063,23,59981
1747907674573.062,23,59984
1747907674574.063,23,59983
1747907674575.063,23,59989
1747907674576.062,23,59986
1747907674577.063,23,60000
1747907674577.969,23,59973
1747907674578.969,23,59997
1747907674579.969,23,59984
1747907674580.969,24,59990
1747907674581.969,24,59988
1747907674582.969,24,59980
1747907674583.9692,24,59998
1747907674584.969,24,59977
1747907674585.969,24,59988
1747907674586.969,24,59990
1747907674587.969,24,59972
1747907674588.969,24,59991
1747907674589.969,24,59985
1747907674590.969,24,59984
1747907674591.969,25,59992
1747907674592.969,25,59982
1747907674593.9382,25,59990
1747907674594.937,25,59977
1747907674595.938,25,59985
1747907674596.937,25,59982
1747907674597.938,25,59985
1747907674598.937,25,59980
1747907674599.938,25,59998
1747907674600.937,25,59981
1747907674601.938,25,59995
1747907674602.937,26,59985
1747907674603.937,26,59984
1747907674604.938,26,59989
1747907674605.937,26,59986
1747907674606.938,26,59980
1747907674607.937,26,59978
1747907674608.938,26,59987
1747907674609.781,26,59977
1747907674610.781,26,59982
1747907674611.7808,26,59986
1747907674612.781,26,59971
1747907674613.781,27,59978
1747907674614.781,27,59991
1747907674615.781,27,59986
1747907674616.781,27,59986
1747907674617.781,27,59982
1747907674618.781,27,59996
1747907674619.781,27,59991
1747907674620.781,27,59978
1747907674621.781,27,59986
1747907674622.781,27,59983
1747907674623.781,27,59988
1747907674624.781,28,59974
1747907674625.625,28,59989
1747907674626.625,28,59989
1747907674627.625,28,59985
1747907674628.625,28,59986
1747907674629.625,28,59985
1747907674630.625,28,59979
1747907674631.625,28,59997
1747907674632.625,28,59995
1747907674633.625,28,59998
1747907674634.625,28,59983
1747907674635.625,29,59994
1747907674636.625,29,59995
1747907674637.625,29,59985
1747907674638.625,29,59968
1747907674639.625,29,59986
1747907674640.625,29,59968
1747907674641.5,29,59980
1747907674642.5,29,59988
1747907674643.5,29,59978
1747907674644.5,29,59979
1747907674645.5,29,59983
1747907674646.5,30,59983
1747907674647.5,30,59975
1747907674648.5,30,59984
1747907674649.5,30,59982
1747907674650.5,30,59989
1747907674651.5,30,59981
1747907674652.5,30,59979
1747907674653.5,30,59988
1747907674654.5,30,59977
1747907674655.5,30,59986
1747907674656.5,30,59993
1747907674657.406,31,59992
1747907674658.406,31,59974
1747907674659.406,31,59970
