recording_2_ecgppg_biopac_noisy.acq
Graph Created on: 2025-05-22 11:33:37.664
Recording on: 2025-05-22 11:54:40.285
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
milliSec	CH1	CH13	
	311320 samples	311320 samples	
0	0.283203	0.0250244	
1	0.282593	0.0239563	
2	0.281677	0.0222778	
3	0.278931	0.0198364	
4	0.27832	0.0164795	
5	0.278625	0.01297	
6	0.278931	0.0115967	
7	0.277405	0.00808716	
8	0.276489	0.00427246	
9	0.273743	-0.00396729	
10	0.273743	-0.0132751	
11	0.269775	-0.0198364	
12	0.267944	-0.0219727	
13	0.267944	-0.0215149	
14	0.26825	-0.0167847	
15	0.264587	-0.00671387	
16	0.266418	0.00656128	
17	0.263977	0.0144958	
18	0.263062	0.0192261	
19	0.259705	0.0262451	
20	0.259094	0.0289917	
21	0.258484	0.0268555	
22	0.255127	0.0219727	
23	0.253906	0.0177002	
24	0.252991	0.0151062	
25	0.250244	0.010376	
26	0.250549	0.0050354	
27	0.245667	0.000610352	
28	0.244141	-0.00686646	
29	0.24292	-0.0149536	
30	0.239563	-0.0244141	
31	0.238037	-0.0309753	
32	0.234985	-0.0309753	
33	0.233459	-0.0286865	
34	0.229797	-0.0219727	
35	0.22583	-0.012207	
36	0.224304	0.00198364	
37	0.219421	0.0163269	
38	0.219116	0.0263977	
39	0.215454	0.0292969	
40	0.210266	0.0274658	
41	0.209045	0.0262451	
42	0.206604	0.0248718	
43	0.202942	0.0224304	
44	0.199585	0.0212097	
45	0.197144	0.0164795	
46	0.194092	0.0111389	
47	0.19104	0.0117493	
48	0.189514	0.00488281	
49	0.185852	-0.00732422	
50	0.184326	-0.0213623	
51	0.181274	-0.0309753	
52	0.180664	-0.0341797	
53	0.176697	-0.0300598	
54	0.171814	-0.0219727	
55	0.170898	-0.0114441	
56	0.171204	0.000610352	
57	0.166931	0.0114441	
58	0.16571	0.0157166	
59	0.162659	0.014801	
60	0.160828	0.0140381	
61	0.160828	0.0146484	
62	0.15686	0.0138855	
63	0.155945	0.0120544	
64	0.155029	0.010376	
65	0.151672	0.00778198	
66	0.151062	0.00869751	
67	0.149536	0.00274658	
68	0.146484	-0.00762939	
69	0.145264	-0.020752	
70	0.144958	-0.0309753	
71	0.143127	-0.0360107	
72	0.141296	-0.0349426	
73	0.142212	-0.0296021	
74	0.138245	-0.022583	
75	0.13916	-0.0144958	
76	0.136719	-0.00442505	
77	0.136719	0.00946045	
78	0.136108	0.0192261	
79	0.136719	0.0221252	
80	0.133972	0.0196838	
81	0.132751	0.0138855	
82	0.132141	0.00915527	
83	0.132446	0.00534058	
84	0.132141	0.00488281	
85	0.131531	0.00518799	
86	0.128784	0.00274658	
87	0.128479	-0.000915527	
88	0.126343	-0.00991821	
89	0.126648	-0.0209045	
90	0.126953	-0.0286865	
91	0.126343	-0.0323486	
92	0.126953	-0.0358582	
93	0.126038	-0.0364685	
94	0.121765	-0.0299072	
95	0.121765	-0.0193787	
96	0.121155	-0.00564575	
97	0.12146	0.00427246	
98	0.12146	0.00976563	
99	0.117493	0.0141907	
100	0.117188	0.0166321	
101	0.116577	0.0170898	
102	0.116272	0.0175476	
103	0.116577	0.0189209	
104	0.115051	0.0141907	
105	0.112305	0.0062561	
106	0.112305	-0.00167847	
107	0.111084	-0.00610352	
108	0.106812	-0.010376	
109	0.106812	-0.017395	
110	0.106812	-0.0262451	
111	0.10376	-0.0309753	
112	0.102539	-0.0320435	
113	0.102234	-0.0294495	
114	0.102539	-0.0228882	
115	0.101624	-0.0125122	
116	0.101318	-0.00152588	
117	0.0979614	0.00747681	
118	0.0985718	0.0160217	
119	0.100708	0.0190735	
120	0.100098	0.0196838	
121	0.0994873	0.0170898	
122	0.098877	0.0131226	
123	0.101929	0.0119019	
124	0.102234	0.00686646	
125	0.101929	0	
126	0.102234	-0.00305176	
127	0.103149	-0.00564575	
128	0.104065	-0.00991821	
129	0.10376	-0.0151062	
130	0.106506	-0.0234985	
131	0.106506	-0.0280762	
132	0.106506	-0.0335693	
133	0.107422	-0.0352478	
134	0.110168	-0.0305176	
135	0.112305	-0.0175476	
136	0.111389	-0.00228882	
137	0.111694	0.0112915	
138	0.112305	0.020752	
139	0.114136	0.0219727	
140	0.114441	0.0187683	
141	0.11322	0.01297	
142	0.116272	0.012207	
143	0.116577	0.0109863	
144	0.116272	0.00671387	
145	0.116577	0.0050354	
146	0.116577	0.00213623	
147	0.117188	-0.00259399	
148	0.116272	-0.0100708	
149	0.116882	-0.0215149	
150	0.117493	-0.0282288	
151	0.117188	-0.0289917	
152	0.116577	-0.0280762	
153	0.117493	-0.0292969	
154	0.116272	-0.0262451	
155	0.116577	-0.0163269	
156	0.117493	-0.00442505	
157	0.116882	0.00961304	
158	0.116882	0.0192261	
159	0.117188	0.0219727	
160	0.116882	0.0222778	
161	0.116272	0.0204468	
162	0.118103	0.0172424	
163	0.121155	0.0141907	
164	0.120544	0.012207	
165	0.120239	0.00976563	
166	0.12085	0.00732422	
167	0.120239	0.00473022	
168	0.12146	-0.00305176	
169	0.12146	-0.0170898	
170	0.12085	-0.0260925	
171	0.12207	-0.0260925	
172	0.122375	-0.0233459	
173	0.12085	-0.0166321	
174	0.12146	-0.00747681	
175	0.12146	0.00244141	
176	0.12146	0.012207	
177	0.12146	0.0218201	
178	0.12207	0.0292969	
179	0.12146	0.0343323	
180	0.121765	0.0363159	
181	0.122375	0.0349426	
182	0.12207	0.0323486	
183	0.12207	0.0299072	
184	0.121765	0.0286865	
185	0.119019	0.0262451	
186	0.116882	0.0216675	
187	0.116882	0.0141907	
188	0.116577	0.00228882	
189	0.116577	-0.0111389	
190	0.116577	-0.0169373	
191	0.116272	-0.0212097	
192	0.112	-0.0210571	
193	0.111694	-0.0146484	
194	0.112305	-0.00564575	
195	0.111389	0.00259399	
196	0.109863	0.0131226	
197	0.107117	0.0262451	
198	0.109863	0.0360107	
199	0.106812	0.0402832	
200	0.104675	0.0393677	
201	0.102539	0.0384521	
202	0.101929	0.0369263	
203	0.102234	0.0358582	
204	0.101929	0.032196	
205	0.0985718	0.032959	
206	0.0973511	0.0312805	
207	0.0970459	0.0270081	
208	0.0924683	0.0198364	
209	0.0924683	0.0100708	
210	0.0888062	0.00274658	
211	0.0878906	-0.000762939	
212	0.0866699	-0.00244141	
213	0.083313	-0.000305176	
214	0.0823975	0.00335693	
215	0.0811768	0.01297	
216	0.0793457	0.0265503	
217	0.0775146	0.0384521	
218	0.072937	0.0437927	
219	0.072937	0.0440979	
220	0.0698853	0.0444031	
221	0.0689697	0.0469971	
222	0.0646973	0.045929	
223	0.0634766	0.0370789	
224	0.062561	0.027771	
225	0.0585938	0.0239563	
226	0.0579834	0.0219727	
227	0.0552368	0.0213623	
228	0.0537109	0.0160217	
229	0.0509644	0.0100708	
230	0.0500488	0.00564575	
231	0.0488281	0.0050354	
232	0.0457764	0.00518799	
233	0.0430298	0.00488281	
234	0.0421143	0.00915527	
235	0.0390625	0.0170898	
236	0.0384521	0.0270081	
237	0.0363159	0.0360107	
238	0.0341797	0.0413513	
239	0.0341797	0.0439453	
240	0.0338745	0.0440979	
241	0.0314331	0.0419617	
242	0.0292969	0.0398254	
243	0.0247192	0.0349426	
244	0.0244141	0.0334167	
245	0.0238037	0.0286865	
246	0.0198364	0.0196838	
247	0.0192261	0.00991821	
248	0.0161743	-0.00228882	
249	0.0137329	-0.0128174	
250	0.0128174	-0.019989	
251	0.0100708	-0.0282288	
252	0.00640869	-0.0335693	
253	0.00488281	-0.0360107	
254	0.000915527	-0.0315857	
255	-0.00152588	-0.0201416	
256	-0.00427246	-0.00274658	
257	-0.00579834	0.00732422	
258	-0.00579834	0.00946045	
259	-0.0100708	0.00747681	
260	-0.0140381	0.0012207	
261	-0.0152588	0.000152588	
262	-0.0204468	-0.000610352	
263	-0.022583	-0.00228882	
264	-0.0241089	-0.00228882	
265	-0.0280762	-0.00473022	
266	-0.0302124	-0.00930786	
267	-0.032959	-0.0169373	
268	-0.0378418	-0.0283813	
269	-0.0387573	-0.0410461	
270	-0.0427246	-0.0488281	
271	-0.0448608	-0.0512695	
272	-0.0488281	-0.0480652	
273	-0.0531006	-0.0411987	
274	-0.0549316	-0.0314331	
275	-0.0585938	-0.0198364	
276	-0.0634766	-0.00732422	
277	-0.0646973	0.00488281	
278	-0.0689697	0.00946045	
279	-0.0738525	0.0119019	
280	-0.0747681	0.0105286	
281	-0.078125	0.00778198	
282	-0.0790405	0.00656128	
283	-0.0830078	0.00442505	
284	-0.0863647	0.00183105	
285	-0.0912476	-0.00259399	
286	-0.093689	-0.00793457	
287	-0.093689	-0.014801	
288	-0.0976563	-0.0268555	
289	-0.101929	-0.0390625	
290	-0.103455	-0.0457764	
291	-0.107422	-0.0466919	
292	-0.110779	-0.045929	
293	-0.11261	-0.0415039	
294	-0.113831	-0.0335693	
295	-0.117188	-0.0193787	
296	-0.121155	-0.00686646	
297	-0.121765	0.00244141	
298	-0.125122	0.00488281	
