Local: ,2025-05-22 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1747864800000.0
PPG Timestamp,PPG,ADXL Timestamp,X,Y,Z
1747907674337.656,188055,1747907674318.75,-97,-34,-128
1747907674357.5,188207,1747907674338.563,-76,-23,-125
1747907674377.4058,188360,1747907674358.437,-87,-15,-121
1747907674397.25,188522,1747907674378.344,-92,-18,-124
1747907674417.094,188631,1747907674398.156,-77,-20,-120
1747907674436.969,188711,1747907674418.0,-72,-23,-125
1747907674456.844,188744,1747907674437.906,-80,-19,-125
1747907674476.656,188754,1747907674457.75,-74,-20,-123
1747907674496.531,188789,1747907674477.625,-79,-21,-121
1747907674516.375,188792,1747907674497.469,-84,-16,-129
1747907674536.25,188835,1747907674517.281,-75,-23,-125
1747907674556.094,188845,1747907674537.187,-83,-21,-104
1747907674575.969,188844,1747907674557.0,-76,-25,-118
1747907674595.813,188825,1747907674576.875,-72,-20,-128
1747907674615.688,188821,1747907674596.75,-77,-23,-126
1747907674635.531,188809,1747907674616.687,-85,-18,-128
1747907674655.406,188791,1747907674636.531,-80,-20,-128
1747907674675.25,188763,1747907674656.344,-81,-25,-128
1747907674695.125,188741,1747907674676.188,-80,-24,-126
1747907674715.031,188667,1747907674696.031,-75,-18,-122
1747907674734.812,188548,1747907674715.969,-76,-20,-128
1747907674754.687,188454,1747907674735.75,-73,-20,-124
1747907674774.531,188274,1747907674755.594,-76,-21,-128
1747907674794.375,188122,1747907674775.469,-89,-18,-125
1747907674814.25,187981,1747907674795.344,-77,-25,-127
1747907674834.094,187857,1747907674815.187,-87,-20,-127
1747907674854.0,187779,1747907674835.031,-80,-29,-125
1747907674873.813,187749,1747907674854.906,-73,-23,-122
1747907674893.687,187730,1747907674874.781,-82,-21,-122
1747907674913.562,187757,1747907674894.594,-77,-28,-137
1747907674933.406,187771,1747907674914.469,-88,-20,-125
1747907674953.219,187813,1747907674934.313,-76,-20,-137
1747907674973.094,187827,1747907674954.187,-73,-20,-122
1747907674992.937,187856,1747907674974.031,-73,-25,-128
1747907675012.812,187885,1747907674993.875,-87,-21,-128
1747907675032.625,187891,1747907675013.719,-68,-18,-127
1747907675052.5,187867,1747907675033.594,-84,-20,-125
1747907675072.344,187859,1747907675053.406,-89,-20,-128
1747907675092.219,187844,1747907675073.25,-74,-8,-125
1747907675112.031,187824,1747907675093.156,-85,-22,-121
1747907675131.875,187807,1747907675112.969,-74,-23,-121
1747907675151.75,187799,1747907675132.812,-79,-25,-112
1747907675171.594,187783,1747907675152.656,-89,-20,-125
1747907675191.437,187771,1747907675172.5,-80,-33,-125
1747907675211.281,187765,1747907675192.375,-83,-18,-126
1747907675231.125,187749,1747907675212.219,-74,-25,-128
1747907675251.0,187685,1747907675232.031,-82,-24,-128
1747907675270.812,187638,1747907675251.906,-84,-21,-126
1747907675290.656,187520,1747907675271.781,-84,-19,-120
1747907675310.531,187316,1747907675291.594,-79,-23,-127
1747907675330.406,187089,1747907675311.438,-84,-23,-125
1747907675350.25,186860,1747907675331.312,-77,-18,-122
1747907675370.094,186565,1747907675351.156,-77,-22,-122
1747907675389.937,186201,1747907675371.031,-76,-23,-122
1747907675409.781,185751,1747907675390.844,-85,-18,-122
1747907675429.625,185311,1747907675410.719,-88,-11,-125
1747907675449.469,184862,1747907675430.562,-85,-21,-122
1747907675469.312,184407,1747907675450.406,-77,-25,-126
1747907675489.188,184012,1747907675470.219,-74,-16,-127
1747907675509.063,183732,1747907675490.094,-80,-24,-122
1747907675528.8442,183703,1747907675509.937,-80,-33,-127
1747907675548.687,183886,1747907675529.812,-92,-17,-127
1747907675568.562,184193,1747907675549.625,-84,-16,-125
1747907675588.406,184600,1747907675569.469,-87,-16,-137
1747907675608.219,184982,1747907675589.344,-79,-26,-126
1747907675628.094,185310,1747907675609.1868,-80,-26,-128
1747907675647.969,185649,1747907675629.0,-80,-24,-128
1747907675667.844,186041,1747907675648.906,-89,-20,-125
1747907675687.6882,186483,1747907675668.781,-77,-21,-121
1747907675707.531,186879,1747907675688.594,-72,-25,-121
1747907675727.406,187222,1747907675708.469,-89,-24,-121
1747907675747.25,187510,1747907675728.313,-84,-23,-122
1747907675767.094,187764,1747907675748.156,-90,-13,-121
1747907675786.938,188025,1747907675768.0308,-79,-18,-121
1747907675806.781,188327,1747907675787.844,-68,-20,-128
1747907675826.656,188684,1747907675807.687,-81,-21,-120
1747907675846.469,189050,1747907675827.563,-96,-25,-122
1747907675866.344,189384,1747907675847.406,-90,-16,-128
1747907675886.219,189665,1747907675867.25,-79,-23,-125
1747907675906.0618,189939,1747907675887.156,-87,-23,-125
1747907675925.875,190174,1747907675906.969,-78,-31,-129
1747907675945.75,190416,1747907675926.844,-93,-26,-118
1747907675965.594,190671,1747907675946.687,-79,-24,-120
