Local: ,2025-05-22 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1747864800000.0
Timestamp,Seq No.,ECG data
1747908198320.406,0,13639
1747908198321.406,0,15895
1747908198322.406,0,18394
1747908198323.406,0,20962
1747908198324.406,0,23377
1747908198325.281,0,25584
1747908198326.281,0,27544
1747908198327.281,0,29185
1747908198328.281,0,30536
1747908198329.281,0,31594
1747908198330.281,0,32407
1747908198331.281,1,33011
1747908198332.281,1,33386
1747908198333.281,1,33628
1747908198334.281,1,33760
1747908198335.281,1,33799
1747908198336.281,1,33768
1747908198337.281,1,33698
1747908198338.281,1,33605
1747908198339.281,1,33514
1747908198340.281,1,33440
1747908198341.188,1,33357
1747908198342.187,2,33269
1747908198343.188,2,33193
1747908198344.187,2,33143
1747908198345.188,2,33104
1747908198346.187,2,33068
1747908198347.188,2,33044
1747908198348.187,2,33027
1747908198349.188,2,33025
1747908198350.188,2,33028
1747908198351.187,2,33032
1747908198352.188,2,33040
1747908198353.187,3,33039
1747908198354.188,3,33043
1747908198355.187,3,33047
1747908198356.188,3,33048
1747908198357.062,3,33042
1747908198358.063,3,33023
1747908198359.062,3,33019
1747908198360.063,3,33020
1747908198361.063,3,33029
1747908198362.062,3,33014
1747908198363.063,3,32992
1747908198364.062,4,32973
1747908198365.063,4,32953
1747908198366.062,4,32942
1747908198367.063,4,32940
1747908198368.062,4,32942
1747908198369.063,4,32948
1747908198370.062,4,32947
1747908198371.063,4,32945
1747908198372.062,4,32945
1747908198372.937,4,32943
1747908198373.938,4,32928
1747908198374.937,5,32921
1747908198375.938,5,32914
1747908198376.937,5,32910
1747908198377.938,5,32911
1747908198378.937,5,32916
1747908198379.938,5,32917
1747908198380.937,5,32909
1747908198381.938,5,32904
1747908198382.937,5,32890
1747908198383.938,5,32879
1747908198384.937,5,32869
1747908198385.938,6,32871
1747908198386.937,6,32876
1747908198387.938,6,32877
1747908198388.781,6,32866
1747908198389.781,6,32860
1747908198390.781,6,32864
1747908198391.781,6,32867
1747908198392.781,6,32879
1747908198393.781,6,32878
1747908198394.781,6,32888
1747908198395.781,6,32897
1747908198396.781,7,32904
1747908198397.781,7,32914
1747908198398.781,7,32913
1747908198399.781,7,32901
1747908198400.781,7,32880
1747908198401.781,7,32858
1747908198402.781,7,32827
1747908198403.781,7,32809
1747908198404.656,7,32772
1747908198405.656,7,32743
1747908198406.656,7,32738
1747908198407.656,8,32756
1747908198408.6558,8,32786
1747908198409.656,8,32812
1747908198410.656,8,32828
1747908198411.656,8,32830
1747908198412.656,8,32836
1747908198413.656,8,32850
1747908198414.656,8,32847
1747908198415.656,8,32836
1747908198416.656,8,32815
1747908198417.656,8,32782
1747908198418.656,9,32741
1747908198419.656,9,32711
1747908198420.563,9,32696
1747908198421.562,9,32698
1747908198422.563,9,32712
1747908198423.563,9,32723
1747908198424.562,9,32723
1747908198425.563,9,32718
1747908198426.562,9,32719
1747908198427.563,9,32727
1747908198428.562,9,32793
1747908198429.563,10,32915
1747908198430.562,10,33100
1747908198431.563,10,33336
1747908198432.562,10,33614
1747908198433.563,10,33917
1747908198434.562,10,34243
1747908198435.563,10,34585
1747908198436.469,10,34929
1747908198437.469,10,35280
1747908198438.469,10,35624
1747908198439.469,10,35980
1747908198440.469,11,36349
1747908198441.469,11,36720
1747908198442.469,11,37071
1747908198443.469,11,37392
1747908198444.469,11,37678
1747908198445.469,11,37918
1747908198446.469,11,38143
1747908198447.469,11,38340
1747908198448.469,11,38528
1747908198449.469,11,38702
1747908198450.469,11,38871
1747908198451.469,12,39050
1747908198452.344,12,39261
1747908198453.344,12,39456
1747908198454.344,12,39679
1747908198455.344,12,39916
1747908198456.344,12,40180
1747908198457.344,12,40457
1747908198458.344,12,40738
1747908198459.344,12,41023
1747908198460.344,12,41319
1747908198461.344,12,41614
1747908198462.344,13,41911
1747908198463.344,13,42190
1747908198464.344,13,42451
1747908198465.344,13,42699
1747908198466.3442,13,42965
1747908198467.344,13,43183
1747908198468.219,13,43401
1747908198469.219,13,43612
1747908198470.219,13,43815
1747908198471.219,13,44005
1747908198472.219,13,44191
1747908198473.219,14,44364
1747908198474.219,14,44528
1747908198475.219,14,44689
1747908198476.219,14,44877
1747908198477.219,14,45080
1747908198478.219,14,45294
1747908198479.219,14,45506
1747908198480.219,14,45711
1747908198481.219,14,45908
1747908198482.219,14,46094
1747908198483.219,14,46273
1747908198484.094,15,46440
1747908198485.094,15,46609
1747908198486.094,15,46777
1747908198487.094,15,46954
1747908198488.094,15,47129
1747908198489.094,15,47309
1747908198490.094,15,47485
1747908198491.094,15,47660
1747908198492.094,15,47834
