recording_3_ecgppg_biopac_movement.acq
Graph Created on: 2025-05-22 11:33:37.664
Recording on: 2025-05-22 12:03:22.265
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
milliSec	CH1	CH13	
	218923 samples	218923 samples	
0	-2.00562	0.109406	
1	-2.0108	0.10498	
2	-2.01324	0.101929	
3	-2.01782	0.0994873	
4	-2.02301	0.0958252	
5	-2.02393	0.0952148	
6	-2.02728	0.0970459	
7	-2.03186	0.0976563	
8	-2.03522	0.0949097	
9	-2.03796	0.0909424	
10	-2.04041	0.0880432	
11	-2.04193	0.0880432	
12	-2.04651	0.0857544	
13	-2.05048	0.0823975	
14	-2.05231	0.080719	
15	-2.05292	0.0805664	
16	-2.05536	0.0805664	
17	-2.05963	0.0794983	
18	-2.05811	0.0776672	
19	-2.06024	0.0740051	
20	-2.06024	0.0712585	
21	-2.06482	0.0732422	
22	-2.06512	0.0733948	
23	-2.06573	0.0724792	
24	-2.06818	0.0663757	
25	-2.06543	0.0628662	
26	-2.06848	0.0605774	
27	-2.06573	0.0585938	
28	-2.06512	0.0575256	
29	-2.06543	0.0561523	
30	-2.06573	0.0541687	
31	-2.06482	0.0524902	
32	-2.06116	0.052948	
33	-2.05994	0.0512695	
34	-2.05963	0.0514221	
35	-2.05597	0.0514221	
36	-2.05658	0.0488281	
37	-2.05475	0.0453186	
38	-2.04865	0.0411987	
39	-2.04681	0.0395203	
40	-2.04254	0.0364685	
41	-2.03979	0.0317383	
42	-2.03308	0.0247192	
43	-2.03156	0.0202942	
44	-2.02637	0.0196838	
45	-2.01813	0.0198364	
46	-2.01569	0.0187683	
47	-2.0108	0.0146484	
48	-2.00378	0.0119019	
49	-1.99707	0.0100708	
50	-1.99097	0.00991821	
51	-1.98334	0.0100708	
52	-1.97662	0.0117493	
53	-1.96869	0.0141907	
54	-1.95923	0.0164795	
55	-1.95251	0.0143433	
56	-1.94366	0.00991821	
57	-1.93359	0.00579834	
58	-1.92413	0.00244141	
59	-1.91406	-0.00167847	
60	-1.90399	-0.00732422	
61	-1.89484	-0.0120544	
62	-1.8808	-0.0166321	
63	-1.87317	-0.0151062	
64	-1.86096	-0.0143433	
65	-1.85059	-0.0154114	
66	-1.8396	-0.0216675	
67	-1.82587	-0.0242615	
68	-1.8161	-0.0234985	
69	-1.80664	-0.0193787	
70	-1.79321	-0.0170898	
71	-1.78284	-0.0151062	
72	-1.7688	-0.0151062	
73	-1.75568	-0.0161743	
74	-1.74408	-0.0144958	
75	-1.73004	-0.0137329	
76	-1.71906	-0.0125122	
77	-1.70746	-0.012207	
78	-1.69464	-0.012207	
79	-1.67999	-0.0128174	
80	-1.66901	-0.0172424	
81	-1.65222	-0.0242615	
82	-1.64215	-0.0311279	
83	-1.6272	-0.0341797	
84	-1.61194	-0.0338745	
85	-1.59729	-0.0335693	
86	-1.58325	-0.0318909	
87	-1.56982	-0.0317383	
88	-1.5564	-0.0318909	
89	-1.54175	-0.0308228	
90	-1.5271	-0.0276184	
91	-1.51245	-0.0230408	
92	-1.49719	-0.019989	
93	-1.48346	-0.0212097	
94	-1.46881	-0.0239563	
95	-1.45416	-0.0224304	
96	-1.44012	-0.0221252	
97	-1.42456	-0.0227356	
98	-1.41174	-0.0254822	
99	-1.3974	-0.0273132	
100	-1.38184	-0.0311279	
101	-1.36719	-0.0306702	
102	-1.35315	-0.0296021	
103	-1.33728	-0.0302124	
104	-1.32263	-0.0325012	
105	-1.30768	-0.0328064	
106	-1.29333	-0.0296021	
107	-1.2793	-0.0265503	
108	-1.26404	-0.0250244	
109	-1.25183	-0.0283813	
110	-1.23779	-0.0306702	
111	-1.22314	-0.0283813	
112	-1.20972	-0.0300598	
113	-1.20026	-0.0346375	
114	-1.18622	-0.0357056	
115	-1.17157	-0.0341797	
116	-1.15662	-0.0312805	
117	-1.14502	-0.0268555	
118	-1.13159	-0.0236511	
119	-1.12	-0.0222778	
120	-1.10748	-0.0216675	
121	-1.09497	-0.0218201	
122	-1.08612	-0.022583	
123	-1.07239	-0.0248718	
124	-1.0614	-0.0257874	
125	-1.05072	-0.0247192	
126	-1.03821	-0.0247192	
127	-1.02509	-0.0250244	
128	-1.01379	-0.0267029	
129	-1.00433	-0.0270081	
130	-0.992737	-0.0286865	
131	-0.98175	-0.0291443	
132	-0.970154	-0.0291443	
133	-0.959778	-0.0292969	
134	-0.949707	-0.0288391	
135	-0.942993	-0.0274658	
136	-0.930481	-0.0250244	
137	-0.920715	-0.0210571	
138	-0.910339	-0.0187683	
139	-0.905151	-0.0184631	
140	-0.896606	-0.0170898	
141	-0.886536	-0.0172424	
142	-0.880127	-0.0186157	
143	-0.871887	-0.0166321	
144	-0.864563	-0.0137329	
145	-0.855408	-0.0105286	
146	-0.848083	-0.00854492	
147	-0.84198	-0.0102234	
148	-0.83252	-0.0120544	
149	-0.826721	-0.0120544	
150	-0.817566	-0.0120544	
151	-0.811462	-0.0131226	
152	-0.803223	-0.0141907	
153	-0.797424	-0.0177002	
154	-0.789795	-0.0221252	
155	-0.783691	-0.0250244	
156	-0.778503	-0.0265503	
157	-0.772705	-0.0276184	
158	-0.76355	-0.0300598	
159	-0.757751	-0.0296021	
160	-0.752869	-0.0273132	
161	-0.748596	-0.0267029	
162	-0.740967	-0.0296021	
163	-0.734253	-0.0317383	
164	-0.728455	-0.0331116	
165	-0.724182	-0.0297546	
166	-0.718384	-0.0263977	
167	-0.710449	-0.0236511	
168	-0.706482	-0.0198364	
169	-0.700989	-0.0193787	
170	-0.696411	-0.0213623	
171	-0.692139	-0.0213623	
172	-0.68634	-0.0196838	
173	-0.681458	-0.0183105	
174	-0.67627	-0.0169373	
175	-0.671692	-0.0170898	
176	-0.669556	-0.0170898	
177	-0.666504	-0.0177002	
178	-0.664673	-0.019989	
179	-0.6604	-0.0218201	
180	-0.654297	-0.0228882	
181	-0.65094	-0.0222778	
182	-0.647583	-0.0222778	
183	-0.645752	-0.0230408	
184	-0.64209	-0.0250244	
185	-0.641174	-0.0221252	
186	-0.637512	-0.0169373	
187	-0.632324	-0.0100708	
188	-0.629883	-0.00457764	
189	-0.626526	-0.00244141	
190	-0.625305	-0.00564575	
191	-0.622253	-0.012207	
192	-0.617981	-0.0135803	
193	-0.617065	-0.0114441	
194	-0.61676	-0.00686646	
195	-0.613098	-0.00396729	
196	-0.611877	-0.00244141	
197	-0.609436	-0.00488281	
198	-0.608215	-0.0100708	
199	-0.6073	-0.0144958	
200	-0.607605	-0.0170898	
201	-0.606995	-0.0170898	
202	-0.607605	-0.0163269	
203	-0.606995	-0.0146484	
204	-0.6073	-0.0154114	
205	-0.606384	-0.0178528	
206	-0.606689	-0.0195313	
207	-0.6073	-0.0186157	
208	-0.609436	-0.0172424	
209	-0.610962	-0.0172424	
210	-0.611877	-0.0190735	
211	-0.611877	-0.0192261	
212	-0.612183	-0.0195313	
