Local: ,2025-05-22 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1747864800000.0
PPG Timestamp,PPG,ADXL Timestamp,X,Y,Z
1747908198359.031,205591,1747908198340.094,-32,16,-153
1747908198378.875,205658,1747908198359.937,-28,12,-153
1747908198398.719,205748,1747908198379.813,-39,-1,-160
1747908198418.563,205871,1747908198399.656,-40,4,-160
1747908198438.438,205978,1747908198419.5,-33,-2,-154
1747908198458.281,206107,1747908198439.344,-36,4,-157
1747908198478.125,206229,1747908198459.219,-49,-5,-156
1747908198497.969,206377,1747908198479.063,-47,-8,-157
1747908198517.844,206544,1747908198498.906,-42,-13,-158
1747908198537.719,206725,1747908198518.719,-39,-8,-157
1747908198557.562,206898,1747908198538.625,-49,-8,-161
1747908198577.406,207020,1747908198558.5,-40,-8,-154
1747908198597.281,207139,1747908198578.3132,-49,-2,-153
1747908198617.156,207279,1747908198598.219,-35,-2,-154
1747908198637.0,207437,1747908198618.062,-9,-7,-159
1747908198656.844,207586,1747908198637.938,-26,-4,-157
1747908198676.688,207742,1747908198657.719,-24,-2,-154
1747908198696.531,207868,1747908198677.594,-36,-1,-162
1747908198716.3442,208019,1747908198697.437,-33,-8,-163
1747908198736.187,208097,1747908198717.312,-33,-12,-160
1747908198756.062,208195,1747908198737.125,-41,-4,-169
1747908198775.906,208261,1747908198756.969,-45,-7,-160
1747908198795.719,208338,1747908198776.844,-36,-2,-148
1747908198815.594,208376,1747908198796.6868,-47,-2,-152
1747908198835.437,208487,1747908198816.5,-32,1,-154
1747908198855.281,208560,1747908198836.344,-41,3,-153
1747908198875.125,208640,1747908198856.219,-23,3,-156
1747908198895.0,208744,1747908198876.031,-29,6,-157
1747908198914.844,208799,1747908198895.937,-33,0,-161
1747908198934.687,208835,1747908198915.75,-33,5,-154
1747908198954.531,208895,1747908198935.625,-28,-1,-154
1747908198974.406,208916,1747908198955.469,-29,-4,-166
1747908198994.25,208926,1747908198975.312,-34,3,-167
1747908199014.125,208925,1747908198995.156,-36,-1,-160
1747908199033.937,208945,1747908199015.031,-45,-1,-160
1747908199053.813,208940,1747908199034.875,-31,-5,-153
1747908199073.656,208947,1747908199054.719,-35,-7,-154
1747908199093.5,208947,1747908199074.562,-47,-8,-161
1747908199113.312,208955,1747908199094.406,-33,-5,-159
1747908199133.188,208953,1747908199114.281,-46,-2,-154
1747908199153.031,208995,1747908199134.094,-34,4,-157
1747908199172.906,208990,1747908199153.937,-41,6,-153
1747908199192.687,209031,1747908199173.812,-40,3,-154
1747908199212.562,209079,1747908199193.625,-34,3,-162
1747908199232.406,209127,1747908199213.5,-41,-3,-161
1747908199252.25,209161,1747908199233.313,-29,1,-154
1747908199272.125,209216,1747908199253.156,-38,1,-161
1747908199291.969,209262,1747908199273.031,-34,1,-157
1747908199311.844,209342,1747908199292.906,-34,-4,-159
1747908199331.719,209411,1747908199312.75,-29,0,-161
1747908199351.562,209532,1747908199332.625,-28,3,-161
1747908199371.406,209661,1747908199352.469,-45,-4,-159
1747908199391.25,209770,1747908199372.313,-23,1,-160
1747908199411.125,209883,1747908199392.156,-26,-2,-156
1747908199430.969,210027,1747908199412.0,-25,-8,-161
1747908199450.812,210167,1747908199431.875,-34,-6,-152
1747908199470.625,210292,1747908199451.75,-40,-2,-148
1747908199490.5,210416,1747908199471.563,-31,-7,-160
1747908199510.375,210533,1747908199491.438,-39,0,-161
1747908199530.156,210645,1747908199511.281,-45,-8,-154
1747908199550.031,210738,1747908199531.094,-36,2,-149
1747908199569.875,210844,1747908199550.937,-45,6,-157
1747908199589.719,210940,1747908199570.781,-37,3,-154
1747908199609.5632,211031,1747908199590.656,-42,7,-157
1747908199629.406,211097,1747908199610.5,-42,-1,-154
1747908199649.25,211210,1747908199630.344,-32,-4,-161
1747908199669.125,211302,1747908199650.156,-40,1,-148
1747908199689.0,211392,1747908199670.031,-39,3,-152
1747908199708.781,211469,1747908199689.9058,-40,12,-160
1747908199728.656,211543,1747908199709.687,-31,3,-162
1747908199748.531,211655,1747908199729.594,-42,-1,-161
1747908199768.344,211751,1747908199749.438,-36,8,-177
1747908199788.219,211888,1747908199769.281,-34,-2,-160
1747908199808.063,212005,1747908199789.125,-34,3,-153
1747908199827.906,212160,1747908199808.969,-36,-1,-154
1747908199847.75,212274,1747908199828.844,-40,-4,-154
1747908199867.594,212383,1747908199848.688,-40,-1,-161
1747908199887.469,212520,1747908199868.5,-25,3,-158
1747908199907.344,212655,1747908199888.375,-29,6,-159
1747908199927.125,212815,1747908199908.25,-39,1,-157
1747908199947.0,212937,1747908199928.063,-40,3,-160
1747908199966.844,213088,1747908199947.906,-39,-4,-157
1747908199986.719,213216,1747908199967.781,-39,3,-162
1747908200006.562,213373,1747908199987.625,-32,-1,-161
1747908200026.406,213516,1747908200007.5,-44,-4,-153
1747908200046.25,213661,1747908200027.344,-40,0,-157
1747908200066.125,213764,1747908200047.188,-39,-2,-158
1747908200085.938,213893,1747908200067.031,-36,-6,-161
1747908200105.781,213988,1747908200086.844,-28,2,-146
1747908200125.656,214102,1747908200106.719,-32,1,-149
1747908200145.5,214252,1747908200126.563,-41,2,-151
1747908200165.344,214380,1747908200146.437,-40,5,-157
1747908200185.187,214495,1747908200166.25,-31,3,-159
1747908200205.031,214643,1747908200186.156,-31,2,-154
1747908200224.875,214740,1747908200205.938,-39,3,-157
1747908200244.781,214879,1747908200225.781,-36,-2,-153
1747908200264.563,215015,1747908200245.687,-40,-2,-157
1747908200284.437,215158,1747908200265.5,-36,-1,-160
1747908200304.281,215283,1747908200285.312,-31,-5,-153
1747908200324.188,215415,1747908200305.188,-33,-7,-153
1747908200344.0,215516,1747908200325.094,-31,4,-153
1747908200363.875,215602,1747908200344.906,-36,-1,-159
1747908200383.719,215690,1747908200364.781,-45,0,-157
1747908200403.594,215794,1747908200384.625,-29,1,-157
1747908200423.406,215905,1747908200404.5,-28,-1,-157
1747908200443.281,216056,1747908200424.375,-33,0,-161
1747908200463.156,216231,1747908200444.187,-44,3,-160
1747908200483.031,216480,1747908200464.063,-40,-2,-161
1747908200502.844,216677,1747908200483.938,-36,-1,-160
1747908200522.75,216825,1747908200503.781,-32,3,-159
1747908200542.625,216931,1747908200523.656,-31,-7,-161
1747908200562.469,217069,1747908200543.563,-32,-1,-162
1747908200582.313,217209,1747908200563.406,-26,-4,-161
1747908200602.188,217356,1747908200583.281,-26,-4,-154
1747908200622.062,217465,1747908200603.094,-42,1,-153
1747908200641.906,217524,1747908200623.0,-32,6,-161
1747908200661.75,217535,1747908200642.844,-20,-5,-161
1747908200681.6558,217488,1747908200662.719,-31,-1,-152
1747908200701.531,217455,1747908200682.562,-34,-4,-154
1747908200721.375,217354,1747908200702.437,-24,-1,-156
1747908200741.25,217267,1747908200722.313,-29,-1,-157
1747908200761.125,217209,1747908200742.188,-31,-4,-168
1747908200781.0,217138,1747908200762.031,-32,14,-157
1747908200800.812,217090,1747908200781.906,-29,2,-161
1747908200820.688,217077,1747908200801.75,-32,-2,-153
1747908200840.594,217097,1747908200821.594,-29,-7,-148
1747908200860.469,217170,1747908200841.5,-45,-1,-161
1747908200880.312,217276,1747908200861.344,-31,-2,-160
1747908200900.156,217385,1747908200881.219,-31,-1,-157
1747908200920.063,217511,1747908200901.063,-31,-2,-159
1747908200939.937,217654,1747908200920.937,-32,-4,-160
1747908200959.75,217792,1747908200940.844,-29,-2,-157
1747908200979.656,217924,1747908200960.6882,-32,-3,-157
1747908200999.5,218035,1747908200980.531,-32,-1,-156
1747908201019.375,218187,1747908201000.406,-29,-1,-157
1747908201039.219,218270,1747908201020.312,-29,1,-154
1747908201059.094,218328,1747908201040.188,-19,4,-153
1747908201078.969,218381,1747908201059.969,-33,0,-159
1747908201098.844,218421,1747908201079.875,-40,3,-157
1747908201118.656,218463,1747908201099.75,-41,28,-161
1747908201138.562,218538,1747908201119.625,-26,-1,-160
1747908201158.438,218592,1747908201139.469,-32,-4,-154
1747908201178.281,218669,1747908201159.312,-42,-9,-144
1747908201198.125,218702,1747908201179.25,-34,1,-156
1747908201217.969,218782,1747908201199.063,-41,3,-157
1747908201237.844,218835,1747908201218.875,-40,-4,-165
1747908201257.719,218916,1747908201238.75,-26,-6,-154
1747908201277.531,218961,1747908201258.625,-29,-1,-162
1747908201297.375,219021,1747908201278.469,-32,-2,-162
1747908201317.25,219059,1747908201298.313,-29,0,-161
1747908201337.094,219145,1747908201318.156,-40,-1,-153
1747908201356.906,219205,1747908201338.0,-36,3,-154
1747908201376.844,219268,1747908201357.875,-40,-1,-161
1747908201396.625,219376,1747908201377.75,-31,1,-159
1747908201416.5,219467,1747908201397.531,-28,-1,-152
1747908201436.313,219552,1747908201417.406,-39,-4,-160
1747908201456.156,219656,1747908201437.25,-33,16,-160
1747908201476.156,219766,1747908201457.062,-29,0,-157
1747908201495.875,219867,1747908201477.063,-37,1,-159
1747908201515.719,219993,1747908201496.781,-37,1,-137
1747908201535.594,220089,1747908201516.687,-32,7,-162
1747908201555.437,220227,1747908201536.5,-40,-2,-153
1747908201575.312,220334,1747908201556.344,-34,-1,-167
1747908201595.156,220443,1747908201576.25,-40,-1,-153
1747908201615.031,220548,1747908201596.094,-28,-4,-159
1747908201634.875,220639,1747908201615.969,-31,-2,-157
1747908201654.719,220769,1747908201635.781,-40,-1,-148
1747908201674.531,220894,1747908201655.656,-36,6,-156
1747908201694.406,220999,1747908201675.469,-32,-1,-157
1747908201714.281,221076,1747908201695.312,-32,-1,-157
1747908201734.156,221153,1747908201715.219,-29,3,-158
1747908201753.969,221236,1747908201735.031,-35,0,-160
1747908201773.844,221312,1747908201754.938,-31,-8,-161
1747908201793.688,221351,1747908201774.75,-20,-1,-154
1747908201813.562,221411,1747908201794.594,-34,-1,-154
1747908201833.375,221460,1747908201814.469,-29,-8,-154
1747908201853.219,221549,1747908201834.313,-36,-1,-153
1747908201873.094,221590,1747908201854.156,-29,-5,-153
1747908201892.969,221677,1747908201874.031,-20,-8,-161
1747908201912.812,221749,1747908201893.844,-36,-3,-156
1747908201932.656,221826,1747908201913.719,-36,4,-157
1747908201952.5,221911,1747908201933.594,-40,1,-159
1747908201972.375,222003,1747908201953.438,-32,-1,-158
1747908201992.219,222072,1747908201973.281,-31,3,-161
1747908202012.062,222147,1747908201993.156,-44,-1,-157
1747908202031.938,222239,1747908202013.0,-45,-4,-153
1747908202051.813,222296,1747908202032.875,-40,1,-161
1747908202071.625,222371,1747908202052.7192,-46,-4,-164
1747908202091.5,222446,1747908202072.594,-31,3,-162
1747908202111.344,222527,1747908202092.406,-32,-1,-160
1747908202131.219,222603,1747908202112.281,-24,-4,-161
1747908202151.063,222692,1747908202132.156,-27,-3,-161
1747908202171.031,222770,1747908202152.0,-32,-1,-162
1747908202190.75,222835,1747908202171.844,-28,-13,-161
1747908202210.625,222910,1747908202191.688,-29,-2,-161
1747908202230.469,223004,1747908202211.531,-29,-6,-156
1747908202250.313,223078,1747908202231.344,-29,-5,-150
1747908202270.187,223177,1747908202251.25,-40,1,-157
1747908202290.062,223257,1747908202271.094,-26,-1,-155
1747908202309.906,223333,1747908202291.0308,-29,0,-161
1747908202329.781,223421,1747908202310.844,-42,3,-153
1747908202349.625,223483,1747908202330.719,-29,-3,-160
1747908202369.531,223578,1747908202350.563,-40,0,-154
1747908202389.375,223639,1747908202370.438,-40,3,-158
1747908202409.219,223672,1747908202390.312,-29,3,-159
1747908202429.125,223701,1747908202410.156,-29,6,-161
1747908202449.0,223679,1747908202430.031,-29,-4,-157
1747908202468.844,223675,1747908202449.906,-9,0,-161
1747908202488.719,223672,1747908202469.781,-45,-2,-152
1747908202508.594,223670,1747908202489.625,-41,1,-159
1747908202528.469,223669,1747908202509.531,-45,15,-154
1747908202548.344,223667,1747908202529.375,-39,0,-157
1747908202568.219,223691,1747908202549.2808,-42,-2,-150
1747908202588.094,223709,1747908202569.094,-34,2,-145
1747908202607.969,223712,1747908202589.0,-36,1,-154
1747908202627.813,223754,1747908202608.906,-32,-2,-161
1747908202647.656,223779,1747908202628.75,-29,-2,-152
1747908202667.531,223794,1747908202648.594,-26,3,-161
1747908202687.406,223824,1747908202668.469,-29,-2,-154
1747908202707.25,223834,1747908202688.313,-45,-2,-153
1747908202727.094,223848,1747908202708.188,-37,-3,-161
1747908202746.938,223863,1747908202728.0,-40,-1,-153
1747908202766.812,223881,1747908202747.875,-49,-4,-157
1747908202786.625,223890,1747908202767.75,-32,-1,-162
1747908202806.5,223928,1747908202787.563,-36,4,-161
1747908202826.375,223953,1747908202807.437,-40,1,-154
1747908202846.219,223990,1747908202827.281,-40,3,-154
1747908202866.062,223997,1747908202847.156,-32,-8,-154
1747908202885.938,224043,1747908202867.0,-39,1,-153
1747908202905.781,224093,1747908202886.844,-32,-1,-161
1747908202925.625,224107,1747908202906.687,-31,16,-156
1747908202945.5,224146,1747908202926.562,-31,1,-153
1747908202965.344,224187,1747908202946.438,-40,-2,-160
1747908202985.188,224241,1747908202966.25,-37,1,-156
1747908203005.063,224302,1747908202986.094,-40,4,-157
1747908203024.875,224361,1747908203005.969,-49,7,-157
1747908203044.75,224371,1747908203025.906,-47,9,-153
1747908203064.594,224372,1747908203045.656,-47,15,-146
1747908203084.438,224317,1747908203065.5,-66,11,-157
1747908203104.25,224305,1747908203085.344,-66,-2,-159
1747908203124.25,224373,1747908203105.187,-56,-13,-161
1747908203143.937,224470,1747908203125.125,-53,-9,-154
1747908203163.8132,224685,1747908203144.844,-42,-15,-149
1747908203183.656,224849,1747908203164.719,-49,-12,-138
1747908203203.469,225044,1747908203184.594,-32,-20,-145
1747908203223.344,225233,1747908203204.406,-21,-18,-152
1747908203243.219,225417,1747908203224.25,-20,-21,-149
1747908203263.031,225553,1747908203244.125,-10,-8,-161
1747908203282.875,225661,1747908203263.969,16,-13,-178
1747908203302.7192,225741,1747908203283.844,28,-8,-193
1747908203322.594,225802,1747908203303.625,25,-8,-176
1747908203342.438,225913,1747908203323.5,26,-9,-181
1747908203362.25,225941,1747908203343.375,28,-12,-170
1747908203382.125,225947,1747908203363.187,25,-5,-163
1747908203402.031,225908,1747908203383.0618,20,-8,-161
1747908203421.844,225858,1747908203402.938,16,-7,-149
1747908203441.688,225814,1747908203422.75,15,-7,-156
1747908203461.531,225706,1747908203442.656,3,-2,-154
1747908203481.406,225623,1747908203462.469,-23,6,-157
1747908203501.281,225613,1747908203482.312,-34,3,-162
1747908203521.094,225623,1747908203502.219,-44,9,-154
