Local: ,2025-06-12 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1749679200000.0
PPG Timestamp,PPG,ADXL Timestamp,X,Y,Z
1749725885366.9382,197250,1749725885348.031,272,60,72
1749725885386.781,197282,1749725885367.875,263,63,81
1749725885406.719,197290,1749725885387.75,264,67,83
1749725885426.5,197266,1749725885407.531,262,55,84
1749725885446.344,197218,1749725885427.438,268,60,83
1749725885466.188,197150,1749725885447.25,265,64,87
1749725885486.031,197074,1749725885467.125,273,57,77
1749725885505.906,197026,1749725885486.969,271,58,79
1749725885525.781,196990,1749725885506.813,271,63,83
1749725885545.594,196978,1749725885526.781,265,64,87
1749725885565.438,196982,1749725885546.562,268,56,86
1749725885585.312,196951,1749725885566.406,271,62,79
1749725885605.156,196950,1749725885586.219,276,67,86
1749725885625.0,196915,1749725885606.063,271,67,87
1749725885644.813,196902,1749725885625.938,268,65,86
1749725885664.688,196869,1749725885645.781,259,65,94
1749725885684.531,196855,1749725885665.594,271,66,91
1749725885704.375,196817,1749725885685.437,271,60,96
1749725885724.188,196777,1749725885705.281,254,70,92
1749725885744.1558,196749,1749725885725.125,264,63,91
1749725885763.906,196707,1749725885744.969,268,59,94
1749725885783.75,196703,1749725885764.781,268,60,96
1749725885803.562,196701,1749725885784.656,269,67,86
1749725885823.438,196688,1749725885804.531,272,64,96
1749725885843.281,196692,1749725885824.344,257,68,96
1749725885863.125,196721,1749725885844.187,263,70,96
1749725885882.969,196759,1749725885864.125,264,67,97
1749725885902.812,196819,1749725885883.906,268,68,99
1749725885922.688,196870,1749725885903.75,259,67,87
1749725885942.531,196948,1749725885923.563,268,68,96
1749725885962.469,196970,1749725885943.437,266,65,87
1749725885982.219,196845,1749725885963.406,264,70,96
1749725886002.063,196539,1749725885983.125,259,70,96
1749725886021.938,196101,1749725886002.969,271,71,99
1749725886041.75,195564,1749725886022.844,263,64,96
1749725886061.594,195022,1749725886042.719,270,65,92
1749725886081.594,194509,1749725886062.531,269,67,98
1749725886101.344,194077,1749725886082.375,268,64,95
1749725886121.156,193762,1749725886102.25,268,71,96
1749725886141.0,193506,1749725886122.094,270,67,92
1749725886160.875,193321,1749725886141.906,270,65,96
1749725886180.75,193172,1749725886161.781,268,57,92
1749725886200.563,193058,1749725886181.6558,254,65,98
1749725886220.438,192977,1749725886201.5,265,68,99
1749725886240.312,192961,1749725886221.344,271,62,96
1749725886260.156,192931,1749725886241.25,263,70,90
1749725886280.0,192910,1749725886261.063,255,67,97
1749725886299.906,192862,1749725886280.969,270,70,92
1749725886319.75,192784,1749725886300.812,259,65,99
1749725886339.625,192711,1749725886320.656,262,71,94
1749725886359.438,192599,1749725886340.531,272,67,95
1749725886379.313,192504,1749725886360.406,273,62,94
1749725886399.187,192417,1749725886380.25,267,70,97
1749725886419.062,192334,1749725886400.094,273,63,95
1749725886438.875,192288,1749725886419.938,267,65,89
1749725886458.75,192255,1749725886439.813,257,66,92
1749725886478.594,192268,1749725886459.656,255,64,102
1749725886498.469,192282,1749725886479.5,267,64,99
1749725886518.312,192314,1749725886499.406,260,63,96
1749725886538.156,192374,1749725886519.25,262,68,86
1749725886558.031,192444,1749725886539.062,260,67,96
1749725886577.906,192495,1749725886558.937,263,67,96
1749725886597.719,192562,1749725886578.813,262,64,94
1749725886617.563,192622,1749725886598.719,268,64,99
1749725886637.5,192712,1749725886618.469,264,65,94
1749725886657.281,192797,1749725886638.344,263,63,88
1749725886677.125,192874,1749725886658.187,268,65,88
1749725886697.063,192988,1749725886678.063,267,70,96
1749725886716.813,193088,1749725886697.969,256,67,99
1749725886736.688,193164,1749725886717.75,263,63,96
1749725886756.531,193253,1749725886737.594,268,67,96
1749725886776.375,193361,1749725886757.469,271,87,96
1749725886796.281,193438,1749725886777.313,273,63,96
1749725886816.156,193548,1749725886797.156,265,64,97
1749725886835.938,193648,1749725886817.031,268,61,105
1749725886855.812,193759,1749725886836.875,259,63,96
1749725886875.656,193893,1749725886856.75,252,65,102
1749725886895.531,193994,1749725886876.563,262,64,87
1749725886915.375,194095,1749725886896.437,267,65,96
1749725886935.281,194097,1749725886916.344,255,63,94
1749725886955.062,193911,1749725886936.188,268,63,99
1749725886974.938,193550,1749725886955.969,263,66,99
1749725886994.781,193096,1749725886975.844,269,67,99
1749725887014.625,192574,1749725886995.687,260,67,96
1749725887034.469,192069,1749725887015.562,266,67,99
1749725887054.312,191682,1749725887035.5,271,67,92
1749725887074.25,191405,1749725887055.188,270,69,104
1749725887094.0,191141,1749725887075.187,249,65,100
1749725887113.844,190993,1749725887094.937,263,64,96
1749725887133.687,190883,1749725887114.75,268,65,99
1749725887153.625,190832,1749725887134.625,267,67,95
1749725887173.375,190792,1749725887154.469,270,60,112
1749725887193.219,190779,1749725887174.2808,264,64,103
1749725887213.062,190800,1749725887194.156,259,73,98
1749725887232.937,190813,1749725887213.969,268,67,96
1749725887252.781,190780,1749725887233.844,259,65,102
1749725887272.594,190765,1749725887253.688,265,65,96
1749725887292.469,190715,1749725887273.531,264,67,96
1749725887312.3118,190650,1749725887293.375,255,65,99
1749725887332.125,190595,1749725887313.25,254,68,95
1749725887352.0,190535,1749725887333.063,259,70,99
1749725887371.906,190499,1749725887352.906,268,67,96
1749725887391.719,190503,1749725887372.781,264,64,96
1749725887411.531,190556,1749725887392.625,267,63,96
1749725887431.375,190561,1749725887412.469,267,63,94
1749725887451.219,190661,1749725887432.313,249,79,97
1749725887471.094,190723,1749725887452.156,252,70,95
1749725887490.906,190817,1749725887471.969,264,67,96
1749725887510.75,190919,1749725887491.844,270,64,95
1749725887530.594,191016,1749725887511.688,264,67,96
1749725887550.469,191114,1749725887531.531,265,69,95
1749725887570.312,191245,1749725887551.375,271,60,92
1749725887590.125,191351,1749725887571.187,268,63,102
1749725887609.969,191482,1749725887591.063,275,60,96
1749725887629.844,191604,1749725887610.875,276,64,95
1749725887649.719,191695,1749725887630.75,264,71,92
1749725887669.531,191832,1749725887650.625,260,70,97
1749725887689.375,191952,1749725887670.5,257,76,95
1749725887709.25,192072,1749725887690.281,268,68,96
1749725887729.125,192226,1749725887710.188,283,70,97
1749725887748.969,192386,1749725887730.0,270,67,100
1749725887768.812,192521,1749725887749.875,263,64,96
1749725887788.656,192673,1749725887769.719,256,63,95
1749725887808.5,192805,1749725887789.563,268,65,102
1749725887828.344,192960,1749725887809.406,271,63,91
1749725887848.187,193111,1749725887829.281,270,55,95
1749725887868.062,193259,1749725887849.094,263,67,99
1749725887887.906,193421,1749725887868.969,265,65,95
1749725887907.719,193576,1749725887888.844,268,68,96
1749725887927.594,193739,1749725887908.625,265,68,96
1749725887947.437,193886,1749725887928.5,258,70,96
1749725887967.281,193997,1749725887948.344,278,65,99
1749725887987.156,194166,1749725887968.219,264,65,97
