Biopac.acq
Graph Created on: 2025-06-12 11:39:41.009
Recording on: 2025-06-12 12:42:40.750
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, X, RSPEC-R
mV
min	CH1	CH9	
	546616 samples	546616 samples	
0	1.06049	0.0379944	
1.66667E-05	1.0498	0.0346375	
3.33333E-05	1.03943	0.0346375	
5E-05	1.02722	0.0369263	
6.66667E-05	1.01746	0.0370789	
8.33333E-05	1.00616	0.0366211	
0.0001	0.995789	0.035553	
0.000116667	0.986023	0.0323486	
0.000133333	0.974426	0.027771	
0.00015	0.96405	0.0253296	
0.000166667	0.954285	0.0227356	
0.000183333	0.944519	0.0222778	
0.0002	0.934143	0.0205994	
0.000216667	0.922852	0.0202942	
0.000233333	0.913086	0.0219727	
0.00025	0.90271	0.0257874	
0.000266667	0.891113	0.0294495	
0.000283333	0.880737	0.0274658	
0.0003	0.870972	0.0248718	
0.000316667	0.860901	0.0210571	
0.000333333	0.850525	0.0222778	
0.00035	0.839844	0.0273132	
0.000366667	0.829468	0.0292969	
0.000383333	0.821838	0.0296021	
0.0004	0.812073	0.0276184	
0.000416667	0.802307	0.0219727	
0.000433333	0.792236	0.0222778	
0.00045	0.783997	0.0283813	
0.000466667	0.776062	0.0308228	
0.000483333	0.768433	0.0244141	
0.0005	0.757446	0.0169373	
0.000516667	0.750427	0.0189209	
0.000533333	0.743103	0.0184631	
0.00055	0.735779	0.0180054	
0.000566667	0.728455	0.0218201	
0.000583333	0.720825	0.0248718	
0.0006	0.713501	0.0265503	
0.000616667	0.705872	0.0231934	
0.000633333	0.700378	0.0222778	
0.00065	0.693665	0.020752	
0.000666667	0.687866	0.0158691	
0.000683333	0.681458	0.0126648	
0.0007	0.674438	0.0170898	
0.000716667	0.668335	0.0219727	
0.000733333	0.663452	0.0245667	
0.00075	0.65918	0.0227356	
0.000766667	0.653992	0.0228882	
0.000783333	0.647278	0.0244141	
0.0008	0.643311	0.0234985	
0.000816667	0.640564	0.0195313	
0.000833333	0.634766	0.0178528	
0.00085	0.632019	0.0180054	
0.000866667	0.628357	0.0152588	
0.000883333	0.62561	0.0144958	
0.0009	0.623169	0.0160217	
0.000916667	0.621033	0.0151062	
0.000933333	0.618591	0.0112915	
0.00095	0.615845	0.012207	
0.000966667	0.613403	0.0151062	
0.000983333	0.610657	0.0170898	
0.001	0.610657	0.0175476	
0.00101667	0.609131	0.0178528	
0.00103333	0.608826	0.0152588	
0.00105	0.606079	0.0151062	
0.00106667	0.606689	0.0186157	
0.00108333	0.606689	0.0178528	
0.0011	0.606079	0.0161743	
0.00111667	0.60791	0.0154114	
0.00113333	0.60791	0.0170898	
0.00115	0.608826	0.0212097	
0.00116667	0.610046	0.019989	
0.00118333	0.610657	0.0183105	
0.0012	0.612183	0.0160217	
0.00121667	0.614624	0.0219727	
0.00123333	0.617371	0.0254822	
0.00125	0.617981	0.0230408	
0.00126667	0.621948	0.019989	
0.00128333	0.625	0.0201416	
0.0013	0.628357	0.0183105	
0.00131667	0.630188	0.0135803	
0.00133333	0.63385	0.0088501	
0.00135	0.637817	0.00808716	
0.00136667	0.642395	0.0117493	
0.00138333	0.646362	0.0166321	
0.0014	0.651245	0.0178528	
0.00141667	0.656433	0.0189209	
0.00143333	0.661316	0.0195313	
0.00145	0.666199	0.0158691	
0.00146667	0.673218	0.0177002	
0.00148333	0.678711	0.0192261	
0.0015	0.682678	0.0209045	
0.00151667	0.689087	0.0166321	
0.00153333	0.696411	0.0131226	
0.00155	0.701294	0.015564	
0.00156667	0.706482	0.0183105	
0.00158333	0.712585	0.0138855	
0.0016	0.718994	0.0151062	
0.00161667	0.724792	0.0128174	
0.00163333	0.731201	0.0134277	
0.00165	0.73761	0.0167847	
0.00166667	0.744019	0.0190735	
0.00168333	0.750122	0.0196838	
0.0017	0.756226	0.0180054	
0.00171667	0.761414	0.0196838	
0.00173333	0.767517	0.0175476	
0.00175	0.773621	0.017395	
0.00176667	0.779419	0.019989	
0.00178333	0.786133	0.0198364	
0.0018	0.791321	0.0158691	
0.00181667	0.796814	0.00778198	
0.00183333	0.802612	0.00762939	
0.00185	0.808105	0.0135803	
0.00186667	0.812988	0.0149536	
0.00188333	0.820313	0.0132751	
0.0019	0.825195	0.0143433	
0.00191667	0.830688	0.0144958	
0.00193333	0.835266	0.0128174	
0.00195	0.840454	0.0123596	
0.00196667	0.845642	0.018158	
0.00198333	0.851135	0.0218201	
0.002	0.857239	0.022583	
0.00201667	0.861206	0.0268555	
0.00203333	0.864563	0.0318909	
0.00205	0.869446	0.0346375	
0.00206667	0.873413	0.032959	
0.00208333	0.877686	0.0262451	
0.0021	0.880737	0.0248718	
0.00211667	0.884399	0.0254822	
0.00213333	0.888062	0.0291443	
0.00215	0.891113	0.0378418	
0.00216667	0.894775	0.0515747	
0.00218333	0.899048	0.0621033	
0.0022	0.901794	0.0662231	
0.00221667	0.904541	0.0666809	
0.00223333	0.909119	0.0686646	
0.00225	0.91156	0.0691223	
0.00226667	0.914001	0.0712585	
0.00228333	0.917358	0.0720215	
0.0023	0.919495	0.0700378	
0.00231667	0.921021	0.072937	
0.00233333	0.924072	0.0776672	
0.00235	0.925903	0.078125	
0.00236667	0.926819	0.0785828	
0.00238333	0.92865	0.0801086	
0.0024	0.930786	0.0810242	
0.00241667	0.932922	0.0814819	
0.00243333	0.933228	0.080719	
0.00245	0.934143	0.0767517	
0.00246667	0.93689	0.0767517	
0.00248333	0.936584	0.0738525	
0.0025	0.93689	0.0721741	
0.00251667	0.939331	0.0732422	
0.00253333	0.939331	0.0740051	
0.00255	0.939331	0.0741577	
0.00256667	0.939026	0.0721741	
0.00258333	0.93811	0.0712585	
0.0026	0.937805	0.0732422	
0.00261667	0.93689	0.0692749	
0.00263333	0.935059	0.0712585	
0.00265	0.932617	0.0769043	
0.00266667	0.931091	0.0784302	
0.00268333	0.927124	0.0788879	
0.0027	0.925598	0.0823975	
0.00271667	0.923462	0.0793457	
0.00273333	0.919495	0.0746155	
0.00275	0.915833	0.0738525	
0.00276667	0.912476	0.0773621	
0.00278333	0.91095	0.0801086	
0.0028	0.906372	0.0805664	
0.00281667	0.903625	0.0775146	
0.00283333	0.899048	0.0714111	
0.00285	0.894775	0.0631714	
0.00286667	0.891418	0.0563049	
0.00288333	0.886841	0.0524902	
0.0029	0.882263	0.0515747	
0.00291667	0.876465	0.04776	
0.00293333	0.873108	0.0428772	
0.00295	0.869751	0.0398254	
0.00296667	0.864258	0.0421143	
0.00298333	0.860596	0.0483704	
0.003	0.856018	0.0512695	
0.00301667	0.850525	0.0515747	
0.00303333	0.843201	0.0509644	
0.00305	0.838013	0.0479126	
0.00306667	0.831604	0.0444031	
0.00308333	0.826416	0.0437927	
0.0031	0.821228	0.0465393	
0.00311667	0.81604	0.0506592	
0.00313333	0.809021	0.0550842	
0.00315	0.804749	0.0564575	
0.00316667	0.79834	0.050354	
0.00318333	0.792236	0.0454712	
0.0032	0.786133	0.045929	
0.00321667	0.781555	0.0448608	
0.00323333	0.776367	0.039978	
0.00325	0.768738	0.0393677	
0.00326667	0.762939	0.0480652	
0.00328333	0.756531	0.0601196	
0.0033	0.750732	0.0650024	
0.00331667	0.742493	0.0639343	
0.00333333	0.736694	0.0654602	
0.00335	0.72998	0.0650024	
0.00336667	0.725098	0.0636292	
0.00338333	0.717773	0.0595093	
0.0034	0.710754	0.052948	
0.00341667	0.705566	0.0474548	
0.00343333	0.698547	0.0468445	
0.00345	0.691223	0.0483704	
0.00346667	0.68512	0.0553894	
0.00348333	0.678711	0.0628662	
0.0035	0.671387	0.062561	
0.00351667	0.663757	0.0614929	
0.00353333	0.657349	0.0540161	
0.00355	0.649719	0.0558472	
0.00356667	0.643005	0.0588989	
0.00358333	0.635071	0.06073	
0.0036	0.629578	0.0627136	
0.00361667	0.622253	0.059967	
0.00363333	0.614624	0.0569153	
0.00365	0.609131	0.0549316	
0.00366667	0.602722	0.0543213	
0.00368333	0.595093	0.0576782	
0.0037	0.588989	0.0566101	
0.00371667	0.582581	0.0544739	
0.00373333	0.575562	0.0541687	
0.00375	0.568542	0.0561523	
0.00376667	0.561218	0.059967	
0.00378333	0.553589	0.0621033	
0.0038	0.54718	0.0588989	
0.00381667	0.541077	0.0526428	
0.00383333	0.534058	0.0494385	
0.00385	0.528564	0.0471497	
0.00386667	0.522156	0.0492859	
0.00388333	0.514526	0.0492859	
0.0039	0.508118	0.0476074	
0.00391667	0.501709	0.0526428	
0.00393333	0.494995	0.057373	
0.00395	0.487976	0.0575256	
0.00396667	0.480347	0.0588989	
0.00398333	0.472412	0.057373	
0.004	0.465698	0.0543213	
0.00401667	0.458984	0.0541687	
0.00403333	0.451965	0.0526428	
0.00405	0.444946	0.0517273	
0.00406667	0.437927	0.0550842	
0.00408333	0.430908	0.0561523	
0.0041	0.424194	0.0515747	
0.00411667	0.417786	0.0448608	
0.00413333	0.411072	0.0411987	
0.00415	0.403748	0.0415039	
0.00416667	0.399475	0.0454712	
0.00418333	0.392761	0.0460815	
0.0042	0.384827	0.0502014	
0.00421667	0.378113	0.0537109	
0.00423333	0.372009	0.0544739	
0.00425	0.366211	0.0567627	
0.00426667	0.359802	0.0561523	
0.00428333	0.352173	0.0563049	
0.0043	0.34668	0.0543213	
0.00431667	0.340881	0.0541687	
0.00433333	0.332947	0.0535583	
0.00435	0.326538	0.0559998	
0.00436667	0.32074	0.0590515	
0.00438333	0.313721	0.0610352	
0.0044	0.309143	0.0653076	
0.00441667	0.302124	0.0643921	
0.00443333	0.296021	0.0624084	
0.00445	0.289307	0.0613403	
0.00446667	0.283813	0.0617981	
0.00448333	0.276184	0.0601196	
0.0045	0.270996	0.06073	
0.00451667	0.264587	0.057373	
0.00453333	0.259094	0.0544739	
0.00455	0.252686	0.0561523	
0.00456667	0.246582	0.0602722	
0.00458333	0.241089	0.0605774	
0.0046	0.23468	0.0552368	
0.00461667	0.230103	0.0549316	
0.00463333	0.22522	0.0645447	
0.00465	0.217896	0.0686646	
0.00466667	0.212708	0.0669861	
0.00468333	0.205688	0.0645447	
0.0047	0.200195	0.0637817	
0.00471667	0.194092	0.0643921	
0.00473333	0.188293	0.0666809	
0.00475	0.181885	0.0704956	
0.00476667	0.176697	0.0737	
0.00478333	0.171814	0.0735474	
0.0048	0.166016	0.0691223	
0.00481667	0.158997	0.062561	
0.00483333	0.152893	0.0593567	
0.00485	0.146484	0.0610352	
0.00486667	0.141602	0.0624084	
0.00488333	0.135803	0.0617981	
0.0049	0.130615	0.063324	
0.00491667	0.124512	0.0640869	
0.00493333	0.119934	0.0622559	
0.00495	0.112305	0.0592041	
0.00496667	0.105896	0.0590515	
0.00498333	0.0994873	0.0567627	
0.005	0.0949097	0.0566101	
0.00501667	0.0878906	0.0584412	
0.00503333	0.0823975	0.063324	
0.00505	0.0769043	0.0694275	
0.00506667	0.0717163	0.0718689	
0.00508333	0.065918	0.0698853	
0.0051	0.0598145	0.0668335	
0.00511667	0.0546265	0.0642395	
0.00513333	0.0479126	0.0654602	
0.00515	0.0445557	0.0666809	
0.00516667	0.0369263	0.0691223	
0.00518333	0.0317383	0.0715637	
0.0052	0.0268555	0.0753784	
0.00521667	0.0219727	0.0804138	
0.00523333	0.0161743	0.0878906	
