Local: ,2025-06-12 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1749679200000.0
Timestamp,Seq No.,ECG data
1749724949341.531,0,12356
1749724949342.531,0,12354
1749724949343.531,0,12356
1749724949344.531,0,12356
1749724949345.531,0,12356
1749724949346.406,0,12354
1749724949347.406,0,12354
1749724949348.406,0,12355
1749724949349.406,0,12353
1749724949350.406,0,12355
1749724949351.406,0,12356
1749724949352.406,1,12351
1749724949353.406,1,12355
1749724949354.406,1,12354
1749724949355.406,1,12354
1749724949356.406,1,12355
1749724949357.406,1,12356
1749724949358.406,1,12354
1749724949359.406,1,12354
1749724949360.406,1,12354
1749724949361.406,1,12354
1749724949362.313,1,12357
1749724949363.312,2,12354
1749724949364.313,2,12355
1749724949365.312,2,12356
1749724949366.313,2,12354
1749724949367.312,2,12354
1749724949368.313,2,12355
1749724949369.312,2,12356
1749724949370.313,2,18263
1749724949371.312,2,25995
1749724949372.313,2,34493
1749724949373.312,2,42949
1749724949374.312,3,50785
1749724949375.313,3,57730
1749724949376.312,3,59984
1749724949377.313,3,59987
1749724949378.219,3,59993
1749724949379.219,3,59983
1749724949380.219,3,59983
1749724949381.219,3,59978
1749724949382.219,3,59994
1749724949383.219,3,59986
1749724949384.219,3,59970
1749724949385.219,4,59990
1749724949386.219,4,59983
1749724949387.219,4,59970
1749724949388.2192,4,59986
1749724949389.219,4,59985
1749724949390.219,4,59992
1749724949391.219,4,59998
1749724949392.219,4,59981
1749724949393.219,4,59986
1749724949394.063,4,59967
1749724949395.062,4,59982
1749724949396.063,5,59980
1749724949397.063,5,59979
1749724949398.062,5,59984
1749724949399.063,5,59983
1749724949400.062,5,59985
1749724949401.063,5,59981
1749724949402.062,5,59990
1749724949403.063,5,59981
1749724949404.062,5,59972
1749724949405.063,5,59986
1749724949406.0618,5,59989
1749724949407.063,6,59984
1749724949408.062,6,59976
1749724949409.063,6,59975
1749724949409.969,6,59976
1749724949410.969,6,59986
1749724949411.969,6,59975
1749724949412.969,6,59987
1749724949413.969,6,59984
1749724949414.969,6,59984
1749724949415.969,6,59993
1749724949416.969,6,59968
1749724949417.969,7,59975
1749724949418.969,7,59977
1749724949419.969,7,59981
1749724949420.969,7,59974
1749724949421.969,7,59978
1749724949422.969,7,59980
1749724949423.969,7,59975
1749724949424.969,7,59983
1749724949425.875,7,59976
1749724949426.875,7,59980
1749724949427.875,7,59980
1749724949428.875,8,59974
1749724949429.875,8,59985
1749724949430.875,8,59984
1749724949431.875,8,59970
1749724949432.875,8,59978
1749724949433.875,8,59985
1749724949434.875,8,59965
1749724949435.875,8,59972
1749724949436.875,8,59976
1749724949437.875,8,59977
1749724949438.875,8,59976
1749724949439.875,9,59988
1749724949440.875,9,59982
1749724949441.75,9,59974
1749724949442.75,9,59982
1749724949443.75,9,59983
1749724949444.75,9,59979
1749724949445.75,9,59988
1749724949446.75,9,59985
1749724949447.75,9,59977
1749724949448.75,9,59980
1749724949449.75,9,59977
1749724949450.75,10,59975
1749724949451.75,10,59966
1749724949452.75,10,59978
1749724949453.75,10,59975
1749724949454.75,10,59964
1749724949455.75,10,59984
1749724949456.75,10,59984
1749724949457.656,10,59977
1749724949458.656,10,59975
1749724949459.656,10,59975
1749724949460.656,10,59971
1749724949461.656,11,59969
1749724949462.656,11,59985
1749724949463.656,11,59977
1749724949464.656,11,59970
1749724949465.656,11,59987
1749724949466.656,11,59971
1749724949467.656,11,59983
1749724949468.656,11,59984
1749724949469.656,11,59976
1749724949470.656,11,59982
1749724949471.656,11,59973
1749724949472.656,12,59982
1749724949473.531,12,59969
1749724949474.531,12,59967
1749724949475.531,12,59974
1749724949476.531,12,59969
1749724949477.531,12,59980
1749724949478.5308,12,59982
1749724949479.531,12,59979
1749724949480.531,12,59970
1749724949481.531,12,59971
1749724949482.531,12,59972
1749724949483.531,13,59977
1749724949484.531,13,59968
1749724949485.531,13,59976
1749724949486.531,13,59974
1749724949487.531,13,59967
1749724949488.531,13,59967
1749724949489.438,13,59979
1749724949490.437,13,59977
1749724949491.438,13,59977
1749724949492.4368,13,59956
1749724949493.438,13,59970
1749724949494.437,14,59968
1749724949495.438,14,59966
1749724949496.437,14,59978
1749724949497.438,14,59971
1749724949498.437,14,59966
1749724949499.438,14,59980
1749724949500.437,14,59980
1749724949501.438,14,59976
1749724949502.437,14,59973
1749724949503.438,14,59980
1749724949504.437,14,59974
1749724949505.312,15,59975
1749724949506.313,15,59976
1749724949507.312,15,59973
1749724949508.313,15,59976
1749724949509.312,15,59980
1749724949510.313,15,59980
1749724949511.312,15,59969
1749724949512.313,15,59976
1749724949513.312,15,59967
1749724949514.313,15,59984
1749724949515.312,15,59977
1749724949516.313,16,59972
1749724949517.313,16,59971
1749724949518.312,16,59963
1749724949519.313,16,59974
1749724949520.312,16,59968
1749724949521.25,16,59968
1749724949522.25,16,59967
1749724949523.25,16,59974
1749724949524.25,16,59985
1749724949525.25,16,59963
1749724949526.25,16,59982
1749724949527.25,17,59965
1749724949528.25,17,59961
1749724949529.25,17,59982
1749724949530.25,17,59982
1749724949531.25,17,59975
1749724949532.25,17,59986
1749724949533.25,17,59979
1749724949534.25,17,59979
1749724949535.25,17,59971
1749724949536.25,17,59963
1749724949537.0942,17,59980
1749724949538.094,18,59977
1749724949539.094,18,59980
1749724949540.094,18,59961
1749724949541.094,18,59984
1749724949542.094,18,59986
1749724949543.094,18,59974
1749724949544.094,18,59968
1749724949545.094,18,59974
1749724949546.094,18,59977
1749724949547.094,18,59978
1749724949548.094,18,59964
1749724949549.094,19,59967
1749724949550.094,19,59975
1749724949551.094,19,59967
1749724949552.094,19,59986
1749724949553.0,19,59975
1749724949554.0,19,59990
1749724949555.0,19,59972
1749724949556.0,19,59975
1749724949557.0,19,59974
1749724949558.0,19,59976
1749724949559.0,19,59978
1749724949560.0,20,59982
1749724949561.0,20,59977
1749724949562.0,20,59962
1749724949563.0,20,59972
1749724949564.0,20,59963
1749724949565.0,20,59963
1749724949566.0,20,59973
1749724949567.0,20,59977
